HighSchool	AICode	NumberOfTestTakers	SATCriticalReadingMean	SATMathMean	SATWritingMean	SATIINumberOfTestTakers SATIITotalTestsTaken	APNumberOfTestTakers APTotalTestsTaken APNumberOfHighScores	PSATSophomoreNumberOfTestTakers	PSATSophomoreCriticalReadingMean	PSATSophomoreMathMean	PSATSophomoreWritingSkillsMean	PSATJuniorNumberOfTestTakers PSATJuniorCriticalReadingMean	PSATJuniorMathMean	PSATJuniorWritingSkillsMean
5-12 Learning Community	480589	7	514	503	479	0	0	24	27	5	26	40.7	41.8	36.3	13	49.8	46.7	44.2
A-1 High School	481351	1	-	-	-	0	0	0	0	-	0	-	-	-	0	-	-	-
A. C. Davis Senior High School	481601	186	429	436	417	11	27	0	0	-	17	50.9	53.8	47.0	83	48.3	48.7	46.3
A.G. West/Black Hills High School	480826	78	507	532	493	4	11	153	219	101	23	49.4	50.7	48.6	74	51.8	52.1	48.4
Academy of Citizenship and Empowerment at Tyee Educ	481159	37	378	404	375	1	3	1	1	-	7	29.4	31.0	33.7	51	31.7	34.4	32.6
Aces High School	480384	2	-	-	-	0	0	0	0	-	0	-	-	-	0	-	-	-
Adna Middle/High School	480015	10	493	528	486	0	0	0	0	-	14	46.4	46.3	43.6	14	46.2	51.4	42.1
Almira-Coulee-Hartline High School	480020	14	465	440	416	0	0	12	13	2	0	-	-	-	18	40.3	44.1	38.8
Anacortes High School	480025	86	547	530	516	14	31	132	176	93	54	53.8	54.5	51.0	167	47.7	49.2	45.5
Arlington High School	480035	132	519	527	499	6	15	102	147	86	33	51.6	49.1	45.8	76	51.8	51.0	47.3
Arts and Academics Academy	481139	8	485	399	409	0	0	4	4	-	6	31.8	38.2	28.3	53	34.0	37.8	34.8
Asotin High School	480040	24	488	479	457	0	0	0	0	-	12	43.8	44.8	41.4	16	41.8	44.3	37.8
Auburn High School	480055	116	517	516	504	9	23	133	197	106	72	46.2	47.9	44.8	68	49.3	49.8	46.0
Auburn Mountainview High School	480044	143	515	515	493	12	29	203	295	169	32	51.1	54.1	47.3	104	49.9	51.2	46.9
Auburn Riverside High School	480046	176	491	508	476	5	12	246	369	210	50	48.4	49.8	47.0	117	51.0	53.0	48.8
Avanti High School	480827	0	-	-	-	0	0	2	2	-	0	-	-	-	0	-	-	-
Aviation High School	481071	56	562	550	531	9	20	93	155	86	4	-	-	-	88	53.0	55.3	51.4
B.E.S.T Alternative High School	480542	2	-	-	-	0	0	0	0	-	0	-	-	-	0	-	-	-
Bainbridge High School	481580	312	588	590	570	81	200	374	716	570	109	56.0	59.6	53.4	210	57.2	57.7	52.9
Ballard High School	481045	234	532	545	517	34	78	268	451	293	382	44.2	45.7	42.7	344	47.4	48.9	44.8
Bancroft Center Community College of Spokane	481290	1	-	-	-	0	0	0	0	-	0	-	-	-	0	-	-	-
Battle Ground High School	480060	130	479	480	448	5	15	120	154	75	21	48.1	51.3	47.2	62	48.7	51.1	46.4
Bellevue Senior High School	480070	274	557	591	547	113	311	628	1404	864	23	56.3	59.3	54.2	326	50.0	54.8	48.5
Bellingham High School	480094	108	560	558	544	14	31	193	282	201	53	52.9	53.9	50.3	80	51.3	54.8	50.3
Bethel High School	481225	124	460	458	448	0	0	77	128	70	62	47.1	49.4	44.8	71	48.7	49.4	46.4
Bickleton High School	480090	4	-	-	-	0	0	2	4	-	6	36.5	47.8	39.5	10	41.7	51.3	41.5
Big Picture High School	480134	0	-	-	-	0	0	0	0	-	15	38.1	38.3	35.7	14	39.3	38.5	35.4
Blaine High School	480095	46	530	527	508	3	10	93	180	82	19	52.6	52.2	46.8	55	53.2	53.7	49.3
Bonney Lake High School	480111	145	504	510	478	0	0	138	318	140	54	46.8	47.5	44.6	122	46.2	48.9	44.1
Bothell Senior High School	480100	215	522	554	517	20	50	158	228	163	31	60.1	60.9	57.0	278	50.3	54.5	47.7
Bremerton High School	480103	94	496	508	477	4	9	75	110	65	111	43.8	42.3	39.7	74	44.5	46.8	40.7
Brewster High School	480110	24	417	442	402	0	0	10	10	0	0	-	-	-	52	37.1	39.8	37.1
Bridgeport High School	480115	16	418	418	416	1	3	42	70	14	40	35.3	39.2	35.0	41	36.8	39.9	37.7
Burlington-Edison High School	480130	88	525	542	508	9	22	101	133	89	63	47.7	49.1	45.2	110	50.3	53.5	47.3
Cam High School	480056	27	577	563	553	1	3	0	0	-	18	57.7	50.5	57.1	19	60.2	57.1	59.7
Camas Senior High School	480140	163	515	515	503	15	41	258	414	327	56	51.9	54.8	49.0	132	52.5	54.6	49.4
Capital High School	480829	178	551	553	528	24	62	1	1	-	72	54.2	54.6	49.1	140	53.9	55.3	50.4
Cascade High School	480605	49	494	504	476	3	7	5	7	4	4	-	-	-	17	56.2	54.9	52.9
Cascade Senior High School	480383	150	497	518	483	10	26	211	272	136	33	46.5	49.8	43.8	89	49.5	51.6	46.7
Cashmere High School	480155	49	499	515	498	1	3	0	0	-	5	39.0	44.6	37.8	32	47.6	50.9	44.5
Castle Rock High School	480160	30	500	491	470	2	5	56	67	12	18	45.6	47.9	43.0	29	45.6	48.4	44.1
Cedarcrest High School	480145	111	527	551	503	9	24	43	50	32	30	52.2	54.2	47.5	92	52.6	52.4	48.6
Center School	481060	33	536	484	508	2	5	15	20	12	59	47.3	44.1	44.1	54	52.5	48.6	47.9
Central Kitsap Alternative High School	481194	1	-	-	-	2	4	0	0	-	0	-	-	-	0	-	-	-
Central Kitsap High School	481195	233	538	557	509	35	88	428	968	750	118	49.5	53.4	46.1	185	52.4	55.6	49.6
Central Valley High School	481483	154	522	537	509	8	20	177	352	256	61	55.8	55.8	52.8	154	51.5	52.8	47.3
Centralia High School	480170	49	523	532	498	3	6	26	36	14	9	52.7	52.0	51.2	15	48.8	50.9	48.7
Challenger High School	481224	3	-	-	-	1	2	0	0	-	0	-	-	-	0	-	-	-
Charles A. Lindbergh High School	480985	92	502	524	481	6	16	120	146	105	20	52.0	54.5	50.0	54	48.3	50.1	45.2
Charles F Adams High School	480205	49	512	516	486	0	0	17	23	10	11	51.3	55.9	43.7	23	48.2	54.3	44.4
Chelan High School	480180	48	497	525	476	1	2	21	25	9	8	50.3	54.5	45.6	35	47.7	52.0	44.9
Cheney High School	480185	89	529	551	499	2	6	77	108	64	83	47.2	50.7	43.9	90	48.4	51.8	45.6
Chief Sealth High School	481161	73	462	466	436	11	23	0	0	-	177	38.4	40.4	37.0	149	42.4	43.9	39.9
Chimacum High School	480195	33	508	477	482	0	0	21	31	21	9	49.8	43.1	43.8	27	53.6	55.2	51.7
Choice High School	480722	0	-	-	-	0	0	0	0	-	0	-	-	-	1	-	-	-
Clallam Bay High School	480200	3	-	-	-	0	0	0	0	-	0	-	-	-	0	-	-	-
Cle Elum-Roslyn High School	480210	21	474	467	471	0	0	0	0	-	6	48.7	40.0	40.7	26	42.3	45.3	41.2
Cleveland High School	481055	60	389	395	378	1	2	21	36	3	185	32.2	35.8	32.0	91	33.3	37.5	34.3
Clover Park High School	481370	82	443	449	428	3	6	100	148	20	255	36.7	38.6	34.9	30	41.9	42.5	40.1
Colfax High School	480215	32	509	501	509	1	4	9	9	3	17	49.1	50.4	44.6	45	47.1	49.7	44.4
Collins High School	480123	2	-	-	-	0	0	0	0	-	0	-	-	-	1	-	-	-
Colton High School	480225	14	462	482	432	0	0	1	1	-	15	41.3	43.5	40.5	15	50.0	52.9	46.9
