ZipCode,City,State,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
99004,Cheney,WA,31465,24,133.6,68,22.6,70,56.8,12,5.2,26,37.7,87,35.3,74,14480,65,2.7,70,25.8,1,96.5,71,48.4,10,8.7,39,86.3,44,1.2,47,3.6,87,3.5,63
98577,Raymond,WA,31826,25,94.8,45,23.8,82,76.2,47,5.4,45,11.2,27,26.9,45,6437,45,2.4,23,42,89,93.5,57,61.4,50,10.4,65,86.6,44,0,1,4.7,90,5.6,72
98122,Seattle,WA,32085,26,289.2,95,25.6,92,32.6,3,3.4,1,41.5,90,44.7,88,28985,85,2,2,32.3,13,116.7,97,27.5,0,11.1,73,53.8,14,25,88,7.5,94,7.2,77
98424,Tacoma,WA,31938,26,150.2,74,24.4,86,23.4,1,4,2,10.7,25,21.2,17,4851,37,2.2,6,29.4,5,110.8,95,45,7,16,98,63.9,20,5.2,68,5.7,92,14,86
98550,Hoquiam,WA,32104,26,89.4,40,23.4,79,63.5,18,5.6,56,9.6,19,20,13,11773,60,2.5,40,37.3,51,89.4,34,51.7,15,14.2,95,87.9,47,0.3,28,0.9,63,4.6,69
98935,Mabton,WA,31915,26,85.4,36,19.5,26,67.2,23,5,17,6.5,5,18.5,8,3829,31,3.9,98,24.4,1,112.6,96,57.5,31,3.4,0,25.6,5,0,0,0.3,38,71.5,98
98409,Tacoma,WA,32132,27,105,54,24.1,84,42.4,5,4.4,5,8.4,13,18.3,8,21920,77,2.5,43,30.3,7,93.9,59,46.4,8,16.1,98,60.2,18,13.7,80,6.4,93,9.3,80
98433,Tacoma,WA,32339,27,102,51,45,99,0.9,0,5.1,19,16.5,52,29.9,58,19628,74,5.4,99,22.5,0,159,99,57.2,30,4.2,1,55.6,15,19.3,85,3.3,86,13.4,85
98433,Tacoma,WA,32339,27,102,51,45,99,0.9,0,5.1,19,16.5,52,29.9,58,19628,74,5.4,99,22.5,0,159,99,57.2,30,4.2,1,55.6,15,19.3,85,3.3,86,13.4,85
98569,Ocean Shores,WA,32331,27,145,73,22.6,70,74.3,40,4.9,14,16.9,54,27,46,4155,33,2.1,3,51.2,98,97.9,77,58,33,16,98,92.8,59,0.5,34,1.6,75,1.2,37
98595,Westport,WA,32218,27,101.7,51,23.9,83,73.4,38,4.6,8,10.7,25,28.6,53,2856,22,2.2,5,44.6,95,95.4,67,56.5,27,14.7,96,93.5,62,0.2,23,0.1,25,1.9,49
98444,Tacoma,WA,32351,28,123.3,64,24.3,86,42.1,5,4.6,7,12,31,21,17,31682,88,2.6,60,28.6,4,91.3,44,46.1,7,15.1,97,61.3,18,11.9,79,9.1,95,7.3,77
98499,Lakewood,WA,32459,28,134.5,69,23.8,82,39.8,4,4.3,4,18.9,60,27.2,47,29303,85,2.3,15,32.5,14,89.3,34,50.5,13,17.2,99,55.4,15,13.1,80,10.6,96,10.4,82
