ZipCode,Hispanic/Latino,White,Black,Native American,Asian,Hawaiian/Pacific Islander,Other,Multiracial
99207,3.40,85.60,2.40,2,2.30,0.20,0.20,3.70
99208,2.20,91.50,1,1,2,0.30,0.10,2
99212,2.20,91.50,1,1,1.50,0.10,0.20,2.20
99216,2.50,91.80,0.90,1,1.80,0.10,0.10,1.90
99216,2.50,91.80,0.90,1,1.80,0.10,0.10,1.90
99217,2.60,89.70,0.80,1,2.60,0.10,0.10,2.70
99218,2.40,91.60,0.90,1,1.50,0.50,0.10,2
99223,2,91.40,1.30,1,2.20,0.20,0.10,2.20
99224,4.70,85.60,3.70,2,1.80,0.10,0.20,2.20
99301,47.90,46.10,2.40,0,1.50,0.10,0.10,1.40
99320,13.30,83.40,0.20,1,1,0,0.10,1.20
99322,4.90,92.70,0,1,0,1.20,0,0
99323,9.80,86.60,0.30,1,0.40,0.10,0.10,1.80
99324,12.10,82.60,1.10,0,1.70,0.40,0.20,1.60
99326,37.60,53.50,3.10,1,3.70,0.10,0.10,1.30
99328,6.40,90.60,0.20,1,0.40,0.10,0,1.40
99329,6.10,89.20,0,3,0,0,0,1.30
99335,8.30,88.50,0,1,0.30,0,0,2.10
99336,18.60,74.80,1.10,1,2,0.10,0.20,2.50
99337,8.40,87.30,0.60,1,1.40,0.10,0.10,1.60
99338,4.60,91.50,0.50,0,1.30,0.10,0.10,1.40
99341,10.70,85.90,0.20,0,0.50,0.10,0,2.30
99343,50.30,47.80,0.20,0,0.70,0,0,0.60
99344,58.90,39.40,0.10,0,0.40,0,0.10,0.90
99345,50.90,49.10,0,0,0,0,0,0
99347,1.90,96.20,0,0,0.60,0,0,0.90
99348,52.40,45.50,0.50,1,0.40,0,0,0.60
99349,72.50,25.60,0.10,0,0.60,0,0.20,0.70
99350,35.60,62.10,0.20,0,0.50,0.20,0.10,0.90
99352,4.70,87.20,1.30,1,4,0.10,0.20,1.80
99353,4.50,91.10,0.50,0,1.60,0,0.10,1.70
99356,17.10,81.70,0,0,0,0,0,1.10
99357,63.10,35.20,0.10,0,0.60,0,0.10,0.60
99359,1.40,95.80,0,1,0,0,0,1.40
99360,14.60,83.40,0,1,0.30,0,0,1.10
99361,4.10,92.50,0.40,1,0.40,0.10,0.20,1.70
99362,16,77.90,2,1,1.10,0.20,0.20,1.80
99371,3.10,94.70,0,1,0,0,0,1.20
99402,1,96.80,0.10,1,0.40,0.10,0,0.80
99403,2,94.30,0.20,1,0.50,0,0.10,1.60
