School District,Principal - Good,Principal - Bad,Teacher - PGO Good,Teacher - PGO Bad,Teacher - Good,Teacher - Bad
Nooksack Valley School District,7,0,100,0,14,0
North Beach School District,4,0,0,0,45,0
North Franklin School District,7,0,0,0,113,0
North Kitsap School District,14,0,96,0,294,0
North Mason School District,5,0,60,0,71,0
North River School District,0,0,0,0,10,0
North Thurston Public Schools,31,0,165,0,695,2
Northport School District,1,0,0,0,21,0
Northshore School District,44,0,533,0,478,8
Oak Harbor School District,14,0,33,0,351,0
Oakesdale School District,1,0,0,0,14,0
Oakville School District,1,0,0,0,19,2
Ocean Beach School District,4,0,11,0,37,1
Ocosta School District,1,1,0,1,48,1
Odessa School District,1,0,0,0,19,0
Okanogan School District,3,0,0,0,57,0
Olympia School District,24,0,136,0,373,0
Omak School District,5,0,1,0,101,2
Onalaska School District,3,0,5,0,43,0
Onion Creek School District,1,0,0,0,4,0
Orcas Island School District,2,0,0,0,51,1
Orchard Prairie School District,1,0,0,0,6,0
Orient School District,1,0,0,0,7,0
Orondo School District,1,0,0,0,14,0
Oroville School District,2,0,0,0,40,1
Orting School District,4,0,1,1,107,6
Othello School District,6,0,0,0,174,7
Palisades School District,1,0,0,0,3,0
Palouse School District,1,0,0,0,18,0
Pasco School District,41,0,384,2,478,0
Pateros School District,1,0,0,0,21,0
Paterson School District,0,0,0,0,9,0
Pe Ell School District,0,0,7,0,14,0
Peninsula School District,24,0,422,0,70,2
Pioneer School District,2,0,0,0,47,1
Pomeroy School District,1,0,4,0,18,0
Port Angeles School District,11,1,144,0,89,0
Port Townsend School District,4,0,94,1,94,1
Prescott School District,0,0,0,0,23,1
Prosser School District,9,0,0,0,187,1
Pullman School District,7,0,0,0,128,0
Puyallup School District,45,0,57,0,1068,12
Queets-Clearwater School District,1,0,0,0,3,0
Quilcene School District,1,0,0,0,19,0
Quillayute Valley School District,4,0,0,0,74,0
Quincy School District,8,0,22,0,152,0
Rainier School District,3,0,15,0,41,0
Raymond School District,2,0,0,0,40,0
Reardan-Edwall School District,2,0,4,0,36,0
Renton School District,45,4,251,0,572,22
Republic School District,2,0,0,0,27,0
Richland School District,37,0,147,0,486,6
Ridgefield School District,3,2,5,0,98,4
Ritzville School District,1,0,0,0,26,0
Riverside School District,6,0,0,0,103,0
Riverview School District,7,0,0,0,169,0
Rochester School District,8,0,45,0,117,2
Roosevelt School District,0,0,0,0,2,0
Rosalia School District,1,0,0,0,19,0
Royal School District,5,0,0,0,78,0
San Juan Island School District,2,0,34,0,20,0
Satsop School District,1,0,0,0,5,0
Seattle Public Schools,98,4,1792,5,2601,22
Sedro-Woolley School District,16,0,135,0,133,0
Selah School District,11,0,0,0,162,0
Selkirk School District,2,0,0,0,20,0
Sequim School District,9,0,34,0,135,1
Shaw Island School District,0,0,0,0,2,0
Shelton School District,7,0,87,0,154,0
Shoreline School District,22,0,169,2,421,3
Skamania School District,0,0,0,0,5,0
Skykomish School District,0,0,0,0,6,0
Snohomish School District,21,0,375,0,197,1
Snoqualmie Valley School District,13,1,68,0,225,2
Soap Lake School District,3,0,0,0,33,0
South Bend School District,2,0,5,0,32,0
South Kitsap School District,22,2,328,0,164,3
South Whidbey School District,6,0,38,0,59,1
Southside School District,1,0,0,0,12,0
Spokane School District,68,0,832,0,889,5
Sprague School District,1,0,0,0,13,0
St. John School District,1,0,0,0,18,0
Stanwood-Camano School District,15,0,97,0,205,1
Star School District,0,0,0,0,2,0
Starbuck School District,0,0,0,0,2,0
Stehekin School District,0,0,0,0,1,0
Steilacoom Hist. School District,6,0,7,0,132,1
Steptoe School District,1,0,0,0,4,0
Stevenson-Carson School District,4,0,0,0,61,0
Sultan School District,6,0,28,0,87,0
Summit Valley School District,1,0,0,0,6,0
Sumner School District,22,0,80,0,273,0
Sunnyside School District,18,0,0,0,386,2
Tacoma School District,57,0,1072,0,457,7
Taholah School District,2,0,0,0,18,0
Tahoma School District,14,0,316,0,29,2
Tekoa School District,1,0,0,0,18,0
Tenino School District,7,0,0,0,73,0
Thorp School District,0,0,2,0,18,1
Toledo School District,3,0,19,0,30,0
Tonasket School District,3,0,14,0,57,0
Toppenish School District,9,0,0,0,209,0
Touchet School District,2,0,0,0,17,2
Toutle Lake School District,2,0,12,0,20,0
Trout Lake School District,1,0,0,0,13,0
Tukwila School District,9,0,31,0,180,3
Tumwater School District,16,2,102,0,292,2
Union Gap School District,2,0,18,0,17,0
University Place School District,13,1,4,0,284,4
Valley School District,5,0,0,0,37,0
Vancouver School District,82,0,0,0,1189,5
Vashon Island School District,2,1,83,0,17,2
