2012,WA,17408,Auburn School District,4417,Ilalko Elementary School,502,502,0,0,79,91,101,71,77,83,0,0,0,0,0,0,0
2012,WA,17408,Auburn School District,4120,Lake View Elementary School,351,341,10,0,43,45,68,57,62,66,0,0,0,0,0,0,0
2012,WA,17408,Auburn School District,5051,Lakeland Hills Elementary,631,631,0,50,54,112,119,104,94,98,0,0,0,0,0,0,0
2012,WA,17408,Auburn School District,3525,Lea Hill Elementary School,362,337,25,1,48,51,65,53,52,67,0,0,0,0,0,0,0
2012,WA,17408,Auburn School District,4462,Mt Baker Middle School,906,906,0,0,0,0,0,0,0,1,330,291,284,0,0,0,0
2012,WA,17408,Auburn School District,3169,Olympic Middle School,683,683,0,0,0,0,0,0,0,0,217,226,240,0,0,0,0
2012,WA,17408,Auburn School District,3227,Pioneer Elementary School,460,454,6,100,1,77,84,59,73,60,0,0,0,0,0,0,0
2012,WA,17408,Auburn School District,4385,Rainier Middle School,818,818,0,0,0,0,0,0,0,0,274,272,272,0,0,0,0
2012,WA,17408,Auburn School District,1915,Special Ed School,95,23,72,0,7,4,3,1,1,3,0,2,0,0,0,0,2
2012,WA,17408,Auburn School District,2659,Terminal Park Elementary School,412,412,0,1,49,66,59,60,82,95,0,0,0,0,0,0,0
2012,WA,17408,Auburn School District,2326,Washington Elementary School,444,444,0,4,69,75,80,70,72,74,0,0,0,0,0,0,0
2012,WA,17408,Auburn School District,2702,West Auburn Senior High School,214,214,0,0,0,0,0,0,0,0,0,0,0,10,33,37,134
2012,WA,18303,Bainbridge Island School District,2395,Bainbridge High School,1306,1306,0,0,0,0,0,0,0,0,0,0,0,303,335,315,353
2012,WA,18303,Bainbridge Island School District,1939,Bainbridge Special Education Services,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2012,WA,18303,Bainbridge Island School District,3552,Capt Johnston Blakely Elem Sch,402,402,0,56,21,71,98,75,81,0,0,0,0,0,0,0,0
2012,WA,18303,Bainbridge Island School District,3043,Capt. Charles Wilkes Elem School,399,382,17,44,19,70,78,94,77,0,0,0,0,0,0,0,0
2012,WA,18303,Bainbridge Island School District,1935,Eagle Harbor High School,134,134,0,0,0,0,0,0,0,0,0,0,0,41,20,40,33
2012,WA,18303,Bainbridge Island School District,1841,Mosaic Home Education Partnership,32,32,0,0,3,3,3,1,4,4,7,5,2,0,0,0,0
2012,WA,18303,Bainbridge Island School District,1699,Odyssey Multiage Program,119,119,0,0,0,12,12,13,12,14,13,20,23,0,0,0,0
2012,WA,18303,Bainbridge Island School District,4062,Ordway Elementary,420,407,13,44,18,73,73,93,106,0,0,0,0,0,0,0,0
2012,WA,18303,Bainbridge Island School District,4542,Sakai Intermediate,510,510,0,0,0,0,0,0,0,248,262,0,0,0,0,0,0
2012,WA,18303,Bainbridge Island School District,4505,Woodward Middle School,527,527,0,0,0,0,0,0,0,0,3,254,270,0,0,0,0
2012,WA,27931,Bates Technical College,5950,Bates Technical High School,320,320,0,0,0,0,0,0,0,0,0,0,0,0,1,27,292
2012,WA,06119,Battle Ground School District,2671,Amboy Middle School,623,623,0,0,0,0,0,0,0,142,161,167,153,0,0,0,0
2012,WA,06119,Battle Ground School District,2415,Battle Ground High School,2104,2104,0,0,0,0,0,0,0,0,0,0,0,639,531,474,460
2012,WA,06119,Battle Ground School District,1836,Cam Jr Sr High School,472,472,0,0,0,0,0,0,0,52,60,60,60,57,59,68,56
2012,WA,06119,Battle Ground School District,4352,Captain Strong,576,558,18,0,109,90,100,120,139,0,0,0,0,0,0,0,0
2012,WA,06119,Battle Ground School District,5133,Chief Umtuch Middle,583,583,0,0,0,0,0,0,0,138,156,144,145,0,0,0,0
2012,WA,06119,Battle Ground School District,5089,Daybreak Middle,530,530,0,0,0,0,0,0,0,135,123,142,130,0,0,0,0
2012,WA,06119,Battle Ground School District,5090,Daybreak Primary,686,668,18,0,113,146,140,134,135,0,0,0,0,0,0,0,0
2012,WA,06119,Battle Ground School District,3018,Glenwood Heights Primary,713,712,1,0,143,146,147,132,144,0,0,0,0,0,0,0,0
2012,WA,06119,Battle Ground School District,1875,Homelink River,257,257,0,0,3,13,13,13,14,14,25,30,25,21,29,30,27
2012,WA,06119,Battle Ground School District,1597,Homelink Schools,270,270,0,0,10,16,15,14,19,16,23,35,30,26,27,18,21
2012,WA,06119,Battle Ground School District,3545,Laurin Middle School,640,640,0,0,0,0,0,0,0,153,172,162,153,0,0,0,0
2012,WA,06119,Battle Ground School District,4351,Maple Grove Middle,467,467,0,0,0,0,0,0,0,120,114,110,123,0,0,0,0
2012,WA,06119,Battle Ground School District,4144,Maple Grove Primary,543,532,11,48,66,103,99,116,100,0,0,0,0,0,0,0,0
2012,WA,06119,Battle Ground School District,3997,Pleasant Valley Middle,426,426,0,0,0,0,0,0,0,103,108,96,119,0,0,0,0
2012,WA,06119,Battle Ground School District,3996,Pleasant Valley Primary,441,441,0,0,84,80,102,89,86,0,0,0,0,0,0,0,0
2012,WA,06119,Battle Ground School District,4104,Prairie High School,1387,1387,0,0,0,0,0,0,0,0,0,0,0,381,334,354,318
2012,WA,06119,Battle Ground School District,4108,Preschool Infant Other,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,WA,06119,Battle Ground School District,4450,Summit View High School,329,329,0,0,0,0,0,0,0,0,0,0,0,48,83,90,108
2012,WA,06119,Battle Ground School District,5131,Tukes Valley Middle School,422,422,0,0,0,0,0,0,0,111,100,108,103,0,0,0,0
2012,WA,06119,Battle Ground School District,5132,Tukes Valley Primary ,585,567,18,0,103,108,115,128,113,0,0,0,0,0,0,0,0
2012,WA,06119,Battle Ground School District,2910,Yacolt Primary,814,803,11,0,151,157,182,153,160,0,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,3633,Ardmore Elementary School,346,346,0,77,16,52,66,39,55,41,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,5240,Bellevue Big Picture School,122,122,0,0,0,0,0,0,0,0,73,0,0,49,0,0,0
2012,WA,17405,Bellevue School District,2701,Bellevue High School,1368,1368,0,0,0,0,0,0,0,0,0,0,0,327,354,339,348
2012,WA,17405,Bellevue School District,3705,Bennett Elementary School,416,416,0,51,12,64,67,74,75,73,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,1832,Bsd Voc Ed/Career Educ Options,218,218,0,0,0,0,0,0,0,0,0,0,0,0,1,22,195
2012,WA,17405,Bellevue School District,3742,Cherry Crest Elementary School,412,412,0,58,8,76,72,68,67,63,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,3338,Chinook Middle School,1006,1006,0,0,0,0,0,0,0,0,311,347,348,0,0,0,0
2012,WA,17405,Bellevue School District,2847,Clyde Hill Elementary,669,669,0,98,4,105,115,113,129,105,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,3036,Eastgate Elementary School,445,445,0,69,8,79,82,81,62,64,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,2846,Enatai Elementary School,494,494,0,63,4,85,94,84,81,83,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,3166,Highland Middle School,529,529,0,0,0,0,0,0,0,0,175,181,173,0,0,0,0
2012,WA,17405,Bellevue School District,3588,Interlake Senior High School,1510,1510,0,0,0,0,0,0,0,0,0,0,0,383,367,407,353
2012,WA,17405,Bellevue School District,3522,International School,547,547,0,0,0,0,0,0,0,0,83,83,83,82,77,68,71
2012,WA,17405,Bellevue School District,1746,Kelsey Creek Home School Center,202,191,11,5,0,7,11,15,11,13,11,13,14,7,9,17,58
2012,WA,17405,Bellevue School District,3225,Lake Hills Elementary,484,484,0,67,11,69,94,75,94,74,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,3436,Medina Elementary School,536,536,0,75,0,71,91,97,96,106,0,0,0,0,0,0,0
2012,WA,17405,Bellevue School District,3437,Newport Heights Elementary,584,584,0,75,17,117,93,102,96,84,0,0,0,0,0,0,0
