ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98053,1.20,1.20,55.50,2.90,8,3.90,24.60,6.90,0.20,18.20,5.10,18.80,6.70,25.10,10.60,1.40,11.30,2.40,96028
98055,7.80,5.90,32.40,11.50,14.30,14.30,31.30,17.40,0.20,21.70,9.50,10.90,12.40,7.70,1.80,3.20,1.10,10.30,42758
98056,6,5.20,37.30,8.60,10.70,10.70,30.70,14.50,0,24.90,9.80,13.90,11.40,11.80,2.50,2.70,2.10,8.10,53608
98056,6,5.20,37.30,8.60,10.70,10.70,30.70,14.50,0,24.90,9.80,13.90,11.40,11.80,2.50,2.70,2.10,8.10,53608
98058,3.30,2,38.60,7,12.40,10.10,28.40,14.70,0.20,24.60,8.90,18.80,11.60,14.70,2.60,2.50,2.20,4.80,63680
98059,4.20,2.40,39.50,7,11.80,8.40,28.70,16.10,0.30,25.30,8.70,15.50,11,13.90,3.80,2.10,3.40,5.50,61361
98059,4.20,2.40,39.50,7,11.80,8.40,28.70,16.10,0.30,25.30,8.70,15.50,11,13.90,3.80,2.10,3.40,5.50,61361
98065,4.10,3.60,36.10,6.10,15.10,8.30,24.20,14.90,0.20,28.50,15.70,16.40,8.80,13.90,2.70,3.80,1.40,6.30,60658
98070,6.20,3.40,48.90,9.10,13.70,8.80,18.40,15.90,1.10,21.50,8.60,14.10,9.40,11.50,4.80,1.40,4.80,6,58261
98072,1.40,2.30,52.30,4.50,9.60,5.90,23.80,10.70,0.40,18.80,6.10,18.20,7.90,20.80,7.60,2,9.80,2.90,82922
98092,3.60,3,37.60,7.30,12.30,8.30,28,14.20,0.30,26.10,9.30,17.50,12.60,13.50,2.80,3.20,3.80,6,62478
98102,7.60,4.80,58,12.40,10.20,14.20,24.10,20.10,0.10,18.50,2.90,8.10,4.60,7.20,2.40,3.50,4.50,9.70,41850
98103,5.70,5.10,55.70,9,10.60,13.40,23.50,17.80,0.10,20.60,4.30,12.30,5.80,11.10,2.50,3.10,2.60,8.80,49044
98105,13.70,7.40,51.20,12.40,14.80,10.60,26.70,13.40,0.20,15.60,2.80,9.10,4.20,9.40,3.30,4.40,5.20,21.10,40246
98106,10.50,6,27,13,20.20,12.80,24.20,18.80,0.90,21,9.30,10,18.40,5.80,1.80,4.40,0.30,16.10,40815
98107,7.40,5.30,45.30,13.80,12.70,14.60,27.50,16.70,0.20,20.70,5.80,11.90,8.40,7,1.50,3.20,1.20,8.40,42195
98108,7.80,9.90,22.90,14.60,25.50,13.10,22,14.30,0.60,21.70,7.60,9.20,21.40,6.20,1.80,4.70,1.30,14.90,38413
98109,5.80,3.90,58,10.80,9.20,14.30,25.10,15.30,0.10,19.60,3.40,11.60,4.20,10.60,3,3.80,5,7.70,49531
98110,4.10,2.90,56.20,7.30,11.70,9.40,20.10,11.50,0.30,17.70,4.40,16.10,7.20,16.40,6.40,1.70,8.10,4.40,70110
98112,7.10,4.50,63.80,10,10,10,21,11,0.20,15,2.40,12.20,2.70,12.60,5.90,3.30,11.80,7.30,59693
98115,4.50,4.20,60.50,7.80,9.80,10.10,21.70,14.70,0.10,21,3.80,15.90,4.30,13.40,4.50,2.30,3.80,6.90,58475
98116,4.70,3.80,50.90,8.50,10.50,12.60,25.50,14.80,0.30,20.20,5.90,14.90,7,13.70,3,2.30,4,4.90,54563
98117,3.50,3.20,49.60,8.40,11.10,10.70,24.10,17,0.40,24.40,6.10,15.10,8.60,12.60,3.30,2.30,1.80,5.70,55777
98118,9.10,6,32.80,11.80,20,11.50,23,17.80,0.30,20.80,5.80,10.60,18.10,8.50,2.30,4.80,1.60,13.90,44697
98119,5.50,4.70,58,10.90,10.40,13.60,24.20,16,0,17.60,2.70,11.50,4.70,11.40,3.30,3.10,5.60,6.90,49222
98122,15.20,7.80,44.70,16,17.90,14,26.10,14.50,0.40,14.30,4,7.20,6.90,6.10,2,4.40,2.80,19.60,32085
98125,9,6,43.70,12.90,15.30,13.30,26.60,15.30,0.20,20,5.90,11.60,8.30,7.40,2.70,2.50,1.80,12,42400
