ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98366,7,5.40,29.40,11.90,18.50,12.80,24.90,20,0.30,23.60,15.10,11.50,11.80,6,0.90,4.30,0.90,8.90,44692
98367,3.20,3.80,28.80,9.80,15.20,11,27.50,18,0.60,27.70,16.10,14.20,11.80,9.30,1.70,3.40,1.40,6.30,52974
98368,10.30,8,35.60,15.50,17.60,13.20,23.40,16.30,0.40,18,12,9.90,11,5.80,1.50,3.60,1.50,11.20,38100
98370,4.90,3.60,39.70,10.40,15,11,23.20,17.60,1.30,23.70,12.60,15.30,8.20,10.70,1.20,2.70,1.60,5.60,51689
98371,5.60,5.60,31.20,13,16,13.70,26.40,16,0.60,21.70,11.80,12.80,13.90,8.90,1.40,3.50,1.40,6.30,46268
98371,5.60,5.60,31.20,13,16,13.70,26.40,16,0.60,21.70,11.80,12.80,13.90,8.90,1.40,3.50,1.40,6.30,46268
98372,6.50,5.30,30.50,10,13.20,13.40,26.60,17.20,0.40,23.90,11.50,12.60,17.90,7.90,1.90,3.80,1.50,6.90,47927
98372,6.50,5.30,30.50,10,13.20,13.40,26.60,17.20,0.40,23.90,11.50,12.60,17.90,7.90,1.90,3.80,1.50,6.90,47927
98373,3.50,3.30,33.50,9.20,13.60,12.20,26.10,18.20,0.20,28.20,13.20,13.70,13.40,9.70,1.20,3,0.90,5.90,52251
98374,3.20,2.50,32.20,7.50,13,9.90,28.10,16.20,0.20,30.60,11,16.20,15.40,10.30,1.60,3.20,2,3.80,58873
98375,3.70,1.40,29,6.50,12.90,9.80,31.30,18,0.10,27,11.70,19.90,14.90,10.80,1.80,3.90,1.20,5.70,59611
98375,3.70,1.40,29,6.50,12.90,9.80,31.30,18,0.10,27,11.70,19.90,14.90,10.80,1.80,3.90,1.20,5.70,59611
98376,9.50,6.70,28.40,15,20.30,12.90,15.80,21.60,7,20.10,16.50,8,12,3.70,1.50,4.50,1.10,14,39896
98377,12.50,9.30,24.90,20.30,17.70,16.10,19.40,22.80,5.10,10.60,15.20,5.90,17.70,1.50,0,4.30,1,15.50,31116
98381,8.20,3.70,36.60,17.80,31.90,24.50,9.70,20.80,6.30,13.80,2.10,5.90,13.40,2.60,0,2.70,2.60,4.20,32443
98382,9.20,7.50,31.20,13.70,21.60,15.10,25.20,20.20,2.40,19.90,10.30,7.70,9.30,3.60,1.40,1.90,1.70,9.10,37392
98383,3.20,3.90,39.80,9.70,17.70,13.20,25.40,18.80,0.30,24.80,8.40,13.60,8.40,9.30,1.50,3.20,1.90,5.10,50991
98387,4.40,4.20,24.10,11.80,18.40,10.30,27,17.30,0.40,30.20,13.70,14,16.50,5.90,1.10,4.20,0.80,8.90,51318
98388,5.10,3.40,49,11.70,13.80,16.80,21.90,15.60,0,17.90,5.60,10.40,9.70,12,4.10,3.20,3,7.80,46875
98390,3.40,3.70,27.50,8.10,12.90,10.60,28.40,16.70,0.30,26.20,12.90,17.40,17.90,10.40,2,4.10,1.70,5.40,56175
98390,3.40,3.70,27.50,8.10,12.90,10.60,28.40,16.70,0.30,26.20,12.90,17.40,17.90,10.40,2,4.10,1.70,5.40,56175
98390,3.40,3.70,27.50,8.10,12.90,10.60,28.40,16.70,0.30,26.20,12.90,17.40,17.90,10.40,2,4.10,1.70,5.40,56175
98392,7,4,28.60,11.30,20.60,15.80,26.80,18.10,1,21.30,11.60,12.20,11.40,9.30,0.50,4.30,0.50,9.60,45357
98394,13.50,4.80,39,9.60,10.20,11,20.60,12.10,2.10,23.60,9.40,9,18.70,13.50,3.10,4.70,0,23.10,49423
98402,32.30,15.90,31.90,20.10,20.30,7.50,23,11.70,0,8.20,10.10,2.10,14.70,0.40,0.90,5.60,0.90,36.10,15847
98403,11.70,6.50,45.30,13.90,13.50,17,26.40,14.10,0.20,15.30,6.10,7.70,8.40,9.20,1.90,2.90,2.80,11.60,35569
98404,11.20,8,18.70,16.30,22.60,15.20,24.50,19.40,0.90,18.90,13.80,7.30,19.50,2.70,0.50,7.20,0.50,22.30,34483
98405,16.30,9.70,25.70,16.10,22.30,14.40,26.50,17.30,0.70,16.20,8.20,5.70,16.60,3.40,0.50,5.40,0.40,22.80,30585
98406,8.50,6.40,39.20,11.40,17.50,10.90,26.80,19.30,0.10,21.50,7.10,11.70,9.30,6.50,1.90,4.60,1.70,11.90,44575
98407,7.90,6.20,39.10,8.70,14.20,13,25.90,19.20,0.30,20.90,9.40,12.70,11.10,8.10,1.60,3.20,1.80,9.10,46025
98407,7.90,6.20,39.10,8.70,14.20,13,25.90,19.20,0.30,20.90,9.40,12.70,11.10,8.10,1.60,3.20,1.80,9.10,46025
98408,9.20,6.50,22.40,12.10,19.20,17.30,25.90,21.70,0.60,20.80,13.30,7.90,18.70,3.30,0.50,5.40,0.50,14,38030
98409,10.90,8.30,18.30,16,23.80,19.60,25.10,18.40,0.10,17.80,12.80,5.60,19.90,2.80,0.60,5.30,0,18.20,32132
98422,2.90,2.10,39.80,5.30,11.20,7.10,28.40,16.10,0.20,25.90,8.10,18,12.30,15.40,3.70,2.70,3.50,4,65267
98424,9.50,6.10,21.20,19.10,16.10,19.70,29.70,21.30,1.30,16,11.50,4.70,20.10,3.20,0.50,4.80,0.10,14.70,31938
98433,1.80,1.10,30,24.60,23.90,29.20,34.10,21.60,2.30,15.50,5.70,4.40,3.90,1.10,0.50,2,0.10,8.10,32339
98433,1.80,1.10,30,24.60,23.90,29.20,34.10,21.60,2.30,15.50,5.70,4.40,3.90,1.10,0.50,2,0.10,8.10,32339
98439,13.40,7.60,21.10,19.50,28.60,22.80,31.70,19.40,0,12.20,8.30,2.60,10.30,1.90,0.60,5.80,0,21.50,28172
98439,13.40,7.60,21.10,19.50,28.60,22.80,31.70,19.40,0,12.20,8.30,2.60,10.30,1.90,0.60,5.80,0,21.50,28172
98443,4.40,4.90,27.70,9.40,13,10.60,28.40,18,0.40,23.80,13.80,15.90,16.70,10.10,1.60,4,1.30,6.60,51859
98444,11.50,7.10,21,18.20,21,17.50,26.70,17.90,0.60,18.10,13.60,6,17.10,2.60,0.60,5.70,0.60,18.60,32351
98445,6.20,5.30,25.30,8.80,16.30,13,30.10,21.20,0.30,25.40,11.60,12.10,16.40,5.80,1.30,4.90,1,9.80,46986
98446,5.80,3.40,25.10,10.90,16.60,12.60,29.10,14,0.70,26,15.40,13,13.10,8.90,3,2.40,2.30,9.30,51949
98465,13.60,7.10,29.80,18.90,17.60,12.10,30.90,13.70,0.50,16.80,7.40,9.80,13.80,6.10,0.60,4.30,1.30,15.10,33404
98466,5.60,4.50,39,11.60,16.10,13.10,26.70,17.90,0.20,22.70,7.90,12.20,10.10,8.10,2.20,2.80,2.10,7.20,47286
98466,5.60,4.50,39,11.60,16.10,13.10,26.70,17.90,0.20,22.70,7.90,12.20,10.10,8.10,2.20,2.80,2.10,7.20,47286
98466,5.60,4.50,39,11.60,16.10,13.10,26.70,17.90,0.20,22.70,7.90,12.20,10.10,8.10,2.20,2.80,2.10,7.20,47286
98467,5.50,4.50,41.50,13,14,13.20,26.90,14.60,0.10,18.80,6.60,13.70,10.90,11.90,2.10,3.50,2.70,10.40,48829
98498,6.90,6.50,36.30,12.70,15.90,12.80,28.10,16.70,0.40,19.90,6.70,13.20,12.50,6.90,1.90,3.20,2.40,10.40,43938
98498,6.90,6.50,36.30,12.70,15.90,12.80,28.10,16.70,0.40,19.90,6.70,13.20,12.50,6.90,1.90,3.20,2.40,10.40,43938
98499,12.30,8.20,27.30,16.80,21.80,15.50,24.90,18.80,0.40,14.50,9.70,7.90,15.90,3.90,0.90,5.10,1.20,17.90,32459
98501,7.50,5.80,42.60,11.80,13.80,12.40,27.50,15.90,0.50,22.80,8.20,11,7.40,9.30,1.50,3.30,1.80,8.60,47230
98501,7.50,5.80,42.60,11.80,13.80,12.40,27.50,15.90,0.50,22.80,8.20,11,7.40,9.30,1.50,3.30,1.80,8.60,47230
98502,8.60,6.30,45.70,11.20,14.80,11.70,24.50,15.50,1.10,19.20,6.50,11.80,7.50,10.80,2.10,3.90,2.70,11.90,46776
98503,7.10,4.90,32.40,11.90,17.30,13.60,29.30,19.80,1.10,23.80,9.10,12.10,10.90,5.40,0.60,4.30,0.80,8.70,44902
98506,8.60,5,42.90,11.60,15.30,13.30,24.80,17.10,0.30,24,7.70,11.30,9.10,6.40,1.40,2.80,1.40,9.30,44775
98506,8.60,5,42.90,11.60,15.30,13.30,24.80,17.10,0.30,24,7.70,11.30,9.10,6.40,1.40,2.80,1.40,9.30,44775
98512,4.70,4.10,40.90,11.20,13.60,12.90,27.30,16.70,0.90,24.60,8.40,14.50,9,7.90,2.20,3.10,1.30,6.30,50286
98512,4.70,4.10,40.90,11.20,13.60,12.90,27.30,16.70,0.90,24.60,8.40,14.50,9,7.90,2.20,3.10,1.30,6.30,50286
98513,3.70,3.10,35.30,7.30,15.70,10.60,29.20,20.60,0.90,29.30,8.30,13.10,10.60,9.50,1.30,4.20,1.50,6.70,52497
98513,3.70,3.10,35.30,7.30,15.70,10.60,29.20,20.60,0.90,29.30,8.30,13.10,10.60,9.50,1.30,4.20,1.50,6.70,52497
98516,5.30,5.70,36.70,10.30,15.90,10.80,29.60,16.10,0.70,23.70,8.70,13.30,8.40,11.20,2.10,4,1.50,8.60,51348
98520,13.50,8.90,23.20,15.40,19.20,14.20,24.50,17.40,4.60,17.60,11.20,7.10,17.40,3.90,1,5.40,0.90,19,33169
98526,18.20,8.20,17.80,12.90,14.70,16.50,15.20,17.10,12.20,12.40,6.10,11.20,34,2.40,0,5.80,1.20,24.20,29500
98528,8.80,6.80,23.30,10.30,19.10,13.30,23.80,17.30,2.50,24.70,17.40,8.40,13.90,7.50,1.80,4.60,0.90,11.30,43375
98531,11.40,9.70,23.40,17.20,19.20,15.70,25.60,17.30,4.50,17.20,11.50,6.20,15.90,3.10,1,5.20,1.30,15.80,32485
98532,9,6.50,26.90,14.30,16.20,13.90,26.80,18.30,3.60,22.10,11.80,9.20,14.80,4.80,1,4.60,0.90,11.70,39614
98537,9.40,6.40,27.80,12.70,14.90,15.10,24.30,18.80,4.30,24.60,10.70,7.70,18.10,4,0.90,4.20,0.40,10.10,39750
98538,7.80,7,27.70,9.60,16.20,20,19.60,19.10,6.10,27.80,8.10,5.20,22.30,0,0,4.90,3.50,20.90,40750
98541,11.90,7.20,22.90,14,18.70,16.30,21.70,19.50,7.30,21.70,12.60,5.20,16.90,3.40,0.30,4.90,0.50,14.70,35423
98546,4.10,7.90,30.90,12.70,19,17.80,19.60,20.70,0.80,20.80,11.50,7.60,18.20,7.10,0.80,1.30,0.50,14.70,39331
98550,12.30,10.60,20,16.40,22.50,15.70,20.30,19.30,4.80,16.40,12.50,5.80,19.90,2.60,0,5.50,0.90,17.70,32104
98557,10.50,7.60,25.10,13.50,17.20,19.60,21.10,22.30,1.30,17.90,11.70,3.70,23.50,4.50,0.10,4.40,0.30,14.90,34293
98563,7.50,9.40,28.90,13.20,17,10.70,25.80,19,2.20,19.10,11.70,15.50,14.40,4.10,0.90,3.40,0.70,9.30,41743
98564,13.20,5.80,25,18.50,18.80,16.40,17.30,23.20,7.70,17.60,13.40,4,17.80,0,0,6.80,1.20,16.30,32838
98565,5.80,9.90,23,8.70,22,12.80,24.50,26.20,4,25,9.50,9.30,17,2.30,0,3.40,0,10.70,40294
98568,11.90,6.80,23.10,15.40,24.90,14.80,21.30,17.50,5.90,21.10,11.90,8.80,12.90,2.80,0.40,5.10,0.60,17.20,35726
98569,10.70,10.10,27.10,17.30,23,14.30,21,16.70,0,18.80,18.20,6.10,10.80,4.10,1.90,2.80,0,12.20,32331
98570,11,7.20,16.90,14.50,14.40,14.50,25.80,25.30,5.50,16.50,16.60,6.20,20.70,3.70,0.60,4.40,0.60,13.60,36521
98571,14.90,8.20,40.30,13.40,22.70,23.20,14.70,14.40,2.80,16.50,8.10,3.10,11.40,6.20,0,1.40,0,5.70,29722
98572,11.80,9.90,19.90,19.30,13.20,16.10,21.50,18.30,15.10,16.10,11.90,8.40,18.30,0,0,6.30,0,19,28472
98576,3.50,5,24.80,12.20,14.10,16.40,25.50,24.20,3,22.40,14.10,10.90,18.40,3.40,0.70,5.20,1.40,6.70,42420
98577,12.50,10.30,27,17.50,20,14.60,19.30,17.70,7.20,17.20,8.50,6.40,18,3.40,0.30,3.90,0.20,16.50,31826
98579,5.80,5.90,23.30,9.30,15.50,17,26.10,20.50,4.60,23,14.90,11.10,15.60,4.30,1.40,5.20,1.70,7.80,41961
98580,5.40,4.60,23.30,8.80,19.70,12.50,24.40,22.10,1.60,25.20,14.90,11.10,16,8,1.60,2.80,0.50,8.10,47585
98584,10.20,6,25.90,15,18.30,13.50,24.30,21.30,3.40,20.90,12.10,8.20,16.10,3.50,0.80,4.90,0.60,12.90,38543
98586,13.60,8.50,29.10,17.70,20.70,17.10,16.40,18.50,5.70,14.20,8.60,7.50,19.60,1.40,0.80,5.50,0.60,16.60,30357
98587,16.20,14.20,26.40,16.60,26.40,17,23.40,11.90,5.90,15,8.60,7.10,9.20,2,0,9,0,32.50,26172
98589,7.30,4.10,29.50,10,14.40,16.20,23,16.10,2.70,30.10,12.90,7.90,17.50,6.20,0.60,6.20,1.40,7.50,46111
98591,8.30,4.20,25.30,17.30,12.90,16,22.80,17.90,5.50,24.20,15.20,7.60,18.30,2.60,0.40,4.10,1.50,14.50,37474
98595,15.20,7.40,28.70,15.60,18.70,14.90,22.10,16.30,8.40,18.70,9.20,6,12.90,4.30,1.20,4.30,0.40,15.30,32218
98596,8.20,8.60,20.80,12.90,20.20,14.60,20.30,21.60,4.40,22.80,12.60,7.30,21.60,3.40,0.20,5.40,0.60,12,39179
98597,6.90,7.30,25.80,14.20,19,12.50,26.60,19.80,1.40,25.10,12.90,9.30,14.20,4,0.50,4.40,0.70,11.20,41015
98601,7.80,4.20,24.80,12.20,14.30,8.80,22.80,21.80,0.30,32.50,19.50,4.50,18.40,6.70,1.60,5.50,0,11.40,45380
98603,20.20,4.70,32.90,13.40,13.50,10.30,17.70,15,14.30,23.30,12.20,3.20,9.30,9.90,0,4.30,0,19.10,40398
98604,4.30,3.10,30.50,9.10,13.30,7.20,23.90,17.90,0.90,28.30,15,15.40,16.50,11.20,2.60,2.90,0.80,5.40,56055
98605,16.60,11.70,28.40,14.80,14.20,19,16.30,17.50,6.80,13.30,10.30,4.60,24.10,2.20,0.20,7.20,0,22,28846
98606,2.80,3.10,41.20,4.20,10.90,7.40,24.30,14.40,0.70,28.10,12.30,14.80,10.60,15.70,5.50,3.60,4,3.50,64855
98607,3.50,2.70,37.50,7,10.40,9.60,26.50,14.60,0,24.70,9.70,16.90,15.90,12.70,3.70,3.20,4.60,4.70,61759
98610,12.50,7.60,27.90,14.50,21.90,17.10,17,21.20,1.60,18.70,10.80,5.20,21,1.50,1.70,9.30,0,15.10,34031
98611,6.50,6,21.80,12.70,18.30,11.50,19.80,19.70,4.10,25.70,14.20,10.70,21.90,5.60,0.70,3.20,0.90,8.90,44897
98612,6.30,6.10,32,15.40,11.80,13,22.30,19.40,7.10,25.10,10.90,8.90,15.90,2.80,1.90,4.90,1.10,8.80,41053
98613,12.80,6.90,36.20,20.20,10.90,7.40,20.50,12.80,5.70,25.50,14.40,9,12.20,2.70,0,3.50,2.70,19.70,36786
98617,10.60,12.60,25.30,21.20,14.90,7.20,24.50,19.80,1,17.50,9.50,6.20,24.70,4.40,0.50,6.90,0,14.80,34145
98619,9.50,10,38,8.50,14.50,15.40,15.50,22.40,12.50,23.90,11,4.50,8.50,4.50,1.50,9.90,0,10.40,39583
98620,13.30,10.10,28.70,17.40,15.60,13.90,24.30,17.20,5.40,17.70,10.60,7.30,15.40,2.20,0,6.90,0.80,20.60,30934
98624,11.60,11.60,32.40,20,16.60,16.10,23,14.10,6.40,13.40,7.30,5.50,14.30,1.30,3.40,3.80,2.90,16.40,29716
98625,12.90,3.70,27.20,9.60,13.60,12.10,22.80,19.20,2.30,24.60,11.70,9,22.40,6.30,2.20,3.80,0.50,16.20,45083
98626,11.10,8.30,22.50,13.60,18.20,12.80,24.20,18,1,21.30,13,8.50,21.20,4.60,0.90,5.50,0.80,15.40,37760
98628,14,15.90,25,15.90,31.30,13.10,10.40,20.60,10.40,14,14.60,4.70,8.30,1.90,0,13.10,0,26,28375
98629,4.10,2.50,27.70,8.60,14.70,13.40,26,17.30,1.50,26,15.70,17.10,14.40,9.20,1.70,2.90,0.10,7.30,53060
98631,11.50,8,25.40,19.90,26.50,16.30,22.60,18.80,2.20,15.40,12.40,5.50,10.90,2.60,0.40,3.10,1.50,10.30,32388
98632,9.50,8.60,24.70,14.50,17.90,13.20,23.40,18,1.40,19.50,12.10,9,20.50,5.50,1.30,4.60,0.80,14.80,38195
98635,13.70,7,28.20,10.10,13.70,17.30,16.60,18.90,4.30,21.20,14.50,6.50,22.70,4.10,0,6.60,1.30,15.80,36328
98638,6.50,6.30,26.90,12.10,11.90,13.10,21.20,22.40,12.30,26.80,10.80,5.40,16.90,5.60,1.40,3.60,0.40,5.50,40926
98640,15.70,8.30,19.70,21.40,29.60,19.50,24.80,14.40,3.30,13.40,12.40,4.40,10.20,1.70,0,4.20,1.20,12.90,26721
98642,4.40,3,36.60,9.30,11.70,9.80,26.10,14.90,0.70,23.20,10.50,15.20,14.50,13.30,4.40,2.60,2.60,5.10,60625
98648,13.50,7.20,31.30,16.20,20,12.70,18.50,15.70,1.70,22.80,12.80,6,15.60,3.90,0.90,7.30,1.20,17.70,35256
98648,13.50,7.20,31.30,16.20,20,12.70,18.50,15.70,1.70,22.80,12.80,6,15.60,3.90,0.90,7.30,1.20,17.70,35256
98649,6.10,10.90,18.10,18.60,18.80,8.90,24.50,18.60,4.70,22.70,14.10,11.70,19.90,2.40,0,4.60,0,14.50,40313
98650,12,4,37.50,16.70,8,14.40,17.60,18.40,4.70,21.70,14,6.70,18.30,4,0.70,4.20,1.30,10.30,36181
98660,15.30,12.50,28.20,14.60,15.40,12.30,26.80,16.10,0.60,18.40,9.40,6.10,19.60,2.80,1.60,6.30,0.40,21.20,30585
98661,11.40,7.50,22.90,17.10,16.70,16.60,26.30,17.70,0.80,16.80,11.60,7.20,21.70,3.80,0.90,4.60,1,18.20,32975
98662,3.60,5.20,30.20,10.10,14.20,13.60,25.20,22,0.10,24.90,12.70,10.70,17.60,7.20,1.50,5.20,1.20,7.80,47623
98662,3.60,5.20,30.20,10.10,14.20,13.60,25.20,22,0.10,24.90,12.70,10.70,17.60,7.20,1.50,5.20,1.20,7.80,47623
98663,11.20,7,28.20,12.20,17.70,13.20,24.50,21.80,0.20,17.60,12.10,10,17.30,5.50,0.80,4.40,0.70,14.50,39022
98664,4.90,5.20,28.70,10.20,14.80,14.60,29.60,19.30,0.30,23,10.10,12.60,16.40,6.80,2,2.50,1.30,8.80,45909
98665,7.20,5.40,31.30,13.30,13.70,12.80,28.50,19,0.70,20.60,10.40,11.10,15.40,6.30,1.70,5,2.60,12,43162
98671,5.50,4.80,24.50,9.90,15.90,14.20,25.90,19.20,0.50,26,12.30,10.50,20.90,7.20,1,3.90,1.70,7.50,46695
98672,9,7.80,31.30,12.40,14.60,16.50,19.50,19.70,8.20,20.30,8.40,8.10,17.90,4.20,1.10,5.30,0.80,12.10,37769
98673,9,10.30,5.70,21.80,32.90,14.10,14.30,23.10,4.30,11.50,14.30,7.70,28.60,0,2.60,4.50,0,18.70,32500
98674,6.90,7.10,20.60,9.50,15.40,11.50,26.40,23.40,3.50,22.20,12.30,11.80,21.70,5.40,0.90,5,1.40,9.30,45452
98675,5.20,4,20.10,7,12,11,28.50,25.60,1.80,26.50,23.10,8.70,14.40,11,1.10,3.10,0,8.20,48594
98682,3,3.60,27,8.40,14.20,12.10,27.40,21.90,0.30,30.10,11.70,12.60,19.50,6.50,1.20,4,0.60,7.80,50553
98683,4.60,3.50,38.50,9.70,11.80,11.40,29.70,19.50,0.30,25.30,7.30,12.30,12.50,9.20,2.60,4,1.90,6.20,50709
98684,4.20,3.50,28.50,9.80,11.90,11.30,30.90,21.60,0.20,26.60,10.60,14.70,17.90,7.30,0.30,3.90,0.80,9.50,49786
98685,4.50,3.60,40.70,7.40,9.90,8.20,31.60,15.10,0.30,24.10,6.50,16.90,11,15.50,3.20,4,1.50,5.50,61503
98686,3.30,3.90,36.60,8.40,13.30,10.40,27.20,14.60,0.90,23.50,9.10,16.90,12.90,13.60,3.60,3.30,1.70,6.30,58394
98801,8.90,7.30,32,17.20,16.70,14,24.90,15.30,6.10,19.10,8.60,8.50,11.60,5.50,1.60,6.80,2.70,13.70,36929
98802,8.60,5.10,28.90,15.20,16.50,12.10,25.50,17.60,4.70,24.30,10.30,11,14.20,4.80,0.60,5.30,0.70,12.70,41553
98812,12,12.40,17.80,22.10,16.40,16.60,16.30,15,27.40,13,6.60,4.10,15.50,2.90,0.80,7.10,0.90,27.90,26625
98813,14,11.30,19.70,20.30,19.20,19,15.80,19.50,29.60,10.40,6.30,3.40,9.50,1.60,0,10.80,0.40,30.70,26833
98815,7.40,8.70,29.60,11.70,17.40,17.10,19.20,19,10.20,19.70,9.90,7.90,13.60,6.60,0.50,8,1.40,7.20,40256
98816,14.70,8.80,30.40,15.10,22.80,14.80,22.80,15,8.50,15.10,8.90,7.90,6.50,4.40,2.10,5.80,2.10,17.40,33235
98822,8.50,8.80,25.60,13.90,16.80,18.30,22.50,18.30,11.60,21.80,11.90,4.70,11.60,5.10,0.60,4.90,0,13.70,35398
98823,11.40,5,34.60,14.10,15.70,17.50,22.70,15.40,4.30,20.70,9.60,7.60,13.10,7,0.50,4,0.80,13.40,36670
98826,7,7.20,32.80,13.90,18.60,13.70,22.30,19.20,4.40,18.80,10.20,9.10,11.70,8.70,1.10,3.70,1.20,7.20,40975
98830,18.70,11.10,40.40,12.90,9.80,7.10,15.50,18.20,7.30,18.70,11.40,5.30,15.50,7.10,0.90,2.10,0,17.10,35125
98831,9.20,7.40,23.80,21.40,26.30,13.90,19.60,19.60,13.90,17.50,7.90,5.40,8.60,3.70,1.40,8.30,0.50,19.80,33779
98837,10.50,6.30,27.50,14.70,15.20,14.20,24.40,21.70,3.80,17.90,10.60,6.90,18.50,5.80,0.80,7.30,1,15.90,36859
98840,12.10,12.30,35.90,17.50,19.20,16,23.80,18.20,5.70,13.40,5.30,5.30,10,3.60,0.60,5,1,19.40,30307
98841,15,8,28.20,20.10,20,14.10,24.20,18.90,4.40,15.20,8.90,6.40,14.30,1.10,0.50,9.10,0.70,21.90,30492
98843,7.80,10.30,22.50,19.80,16.10,18.30,13.60,15.70,32.30,11.90,5.90,5.80,9.60,7.50,0.60,6.70,2.20,19.50,31932
98844,19.30,11.40,26.50,16.80,16.80,17.20,28,17.10,10.20,9.80,7.40,4.10,11.10,4.20,0,5.70,0.10,23.30,26476
98845,6.70,0,28.60,20,9.50,0,26.20,30,0,33.30,9.50,10,26.20,0,0,0,0,25.80,48333
98846,8.70,6.40,22.70,18.70,15.90,14,20.90,20.10,18.20,16.50,7,10.90,15.20,3.10,0.60,4,1.10,14.50,36818
98847,2.60,2.40,20,20.60,19.80,9.20,21.80,13.80,7.30,22.80,12.90,10.30,18.30,13.60,0,5,4.80,1.60,50378
98848,8.60,6.60,24.10,14.60,10.40,20.90,18.80,20.40,20.40,16.80,8.90,7.30,17.40,2.90,0.80,9.70,1,18.40,34571
98850,5.70,13.40,27.40,20.50,18,14.10,21,19.80,11,17,5.60,6.60,17.10,1.80,0,7.20,1,17.20,32788
98851,15.90,13.40,19.80,20,22.30,16.20,23,12.50,5.90,15.10,12.90,3.90,16.10,1.70,0.90,6.90,0.40,23.60,25393
98852,0,7.90,41.80,0,14.50,26.30,0,36.80,0,15.80,27.30,0,16.40,13.20,0,14.90,0,0,36364
98855,14.20,11.20,28.70,18.50,19.30,15.90,18.40,19.10,13.10,12.90,6.70,5,13.80,1.70,0.70,6.50,0.80,19.40,27994
98856,12.80,8.50,40.30,16.70,19.40,20.60,19.20,15.60,4.20,17.40,8,5.40,8.90,1.60,0.70,7.50,0.50,16.40,30504
98857,12.50,6.30,23.20,13.80,12.20,16.80,18.50,19.70,14.50,18.50,8.90,8,22.70,2.50,1.10,10.40,0.80,17.60,35417
98858,9.70,4.10,36.10,14.60,12,16.60,20.30,20.90,7.60,21,11.50,5.10,12.40,4.80,1.90,4.30,1.30,7.60,37679
98860,7.60,12.40,39.60,29.50,25.30,15.20,13.20,18.10,8.80,7.60,9.90,7.60,3.30,1.90,0,3.10,0,24.20,25250
98862,10.70,7.30,37.60,13.30,14.70,17.30,23.90,17.60,2.70,16.10,14.40,6.70,6.70,3.80,4.30,5.50,2.80,9.20,36736
98901,17.70,8.30,21.90,18.70,17.40,14.20,22.10,14.80,7.70,14.80,10.20,5.40,20.60,3.90,1.20,8.80,0.90,29,27878
98902,12.50,9.10,26.60,17.80,18.80,17.30,24.70,16.70,5.10,15.80,8.20,5.70,16.60,3.30,0.70,7,1,19.10,30694
98903,9.30,7.70,24.20,15.50,16.20,15.20,22.20,17.30,5.60,21.80,9.50,6.60,22.20,5.20,0.80,4.70,0.60,11.80,36239
98903,9.30,7.70,24.20,15.50,16.20,15.20,22.20,17.30,5.60,21.80,9.50,6.60,22.20,5.20,0.80,4.70,0.60,11.80,36239
98908,5.90,4.50,39.10,10.90,13.40,13,26.30,18.20,2.10,23,7.30,10.20,11.90,9.10,2.20,2.80,3.10,5.40,48007
98922,11.50,6.20,23.20,13.40,16.70,11.60,25.70,20.50,1.20,18,15.20,8.80,18,5.10,2.70,5.20,2.10,11.90,41162
98922,11.50,6.20,23.20,13.40,16.70,11.60,25.70,20.50,1.20,18,15.20,8.80,18,5.10,2.70,5.20,2.10,11.90,41162
98923,4.10,4.10,32.70,17.70,10.50,11,27.60,25.30,8.20,18.20,8.90,10.80,12.10,6.50,1.10,5.70,1.10,6.80,41694
98925,7.40,3.50,23.40,18.70,22.70,10.50,21.60,18.70,7.90,23.30,12.60,9.30,11.90,5.80,1.20,5.20,1.60,8.20,38958
98926,18.40,12,32.90,13.30,20.80,13,26.70,13.60,3.30,16.50,7.30,6.90,9.10,4,0.70,5.90,1.60,22.90,30198
98930,8.90,6.50,27.50,18,16.20,16.60,19.10,14.40,12.20,22.10,10.20,8.90,14.80,3.20,0.50,8.80,0.90,20.20,35000
98932,9,9.90,19.90,30,13.60,13.20,14.90,18.60,23.50,12.60,6.90,5.10,21.20,1.30,0,6.90,0.20,34.20,25833
98933,6.90,8.40,29.30,13.50,12.90,11.40,19.80,17.40,13.60,20.10,9.90,12.90,14.50,8.10,1.20,4.50,0,22.80,42708
98934,16.70,14.60,9.50,20.70,24.40,10.10,20.40,20.70,3,17.20,10,0,32.80,0,0,11.20,0,24.70,23000
98935,14.80,4.90,18.50,18.30,14.70,18.40,13.40,18.50,24.30,15.50,7.10,5.20,21.90,1.90,0.30,10.40,2.40,27.70,31915
98936,5.20,6.70,22.80,12.60,17.80,12.70,21.50,24.20,8.40,23.20,7.40,10.70,22.20,4.60,0,5,0.20,7.90,41984
98936,5.20,6.70,22.80,12.60,17.80,12.70,21.50,24.20,8.40,23.20,7.40,10.70,22.20,4.60,0,5,0.20,7.90,41984
98937,8.20,8,25.50,14.50,15.70,16.70,29.30,19.10,3.10,19.20,6.70,7.20,19.60,6,0.20,2.60,0.80,9.80,36860
98938,9.40,7.20,23.70,20.10,12.90,9.20,27.40,23.50,16.10,17.90,11.70,6.10,8.10,5,1.60,4.30,0,27.50,38700
