ZipCode,Latitude,Longitude,Population,PeoplePerSquareMile,HousingUnits,LandAreaInSqMi,WaterAreaInSqMi
98208,47.893451,-122.197973,45498,2869.43,17247,15.86,0.14
98220,48.681582,-122.197701,648,26.97,240,24.03,0
98221,48.495234,-122.619769,18771,346.74,9082,54.14,1.23
98223,48.203856,-122.052887,33838,114.7,12821,295,1.66
98225,48.747578,-122.485086,42414,3572.24,18768,11.87,0.02
98226,48.759079,-122.435972,56465,327.2,23686,172.57,1.72
98226,48.759079,-122.435972,56465,327.2,23686,172.57,1.72
98230,48.961443,-122.73714,10743,263.41,7694,40.78,0.05
98232,48.559548,-122.413752,3553,62.57,1502,56.79,0
98232,48.559548,-122.413752,3553,62.57,1502,56.79,0
98233,48.486892,-122.333664,12521,395.28,4817,31.68,0.02
98235,48.461672,-122.23308,95,2171.78,43,0.04,0
98237,48.497601,-121.700181,2911,21.64,1330,134.55,0.3
98239,48.204162,-122.667239,5834,192.72,2953,30.27,0.67
98240,48.931679,-122.632562,2785,123.12,1020,22.62,0.01
98241,48.265483,-121.560752,1953,15.68,850,124.54,0.24
98244,48.841442,-122.125478,2339,17.32,1313,135.06,0.37
98245,48.672312,-122.919728,3217,96.63,1999,33.29,0.1
98247,48.900256,-122.320954,8162,123.39,2840,66.15,0.08
98248,48.852655,-122.618071,18131,258.05,6917,70.26,0.95
98250,48.55113,-123.075633,6894,112.46,4099,61.3,0.58
98251,47.851713,-121.666449,4181,58.57,1709,71.38,0.46
98252,48.070852,-121.822429,6552,27.22,2514,240.74,1.27
98256,47.84138,-121.506896,523,6.1,670,85.75,0.64
98257,48.393063,-122.504762,3606,219.39,1819,16.44,0.04
98258,48.028355,-122.063278,16491,693.55,5950,23.78,1.81
98260,48.030555,-122.448566,4878,187.81,2525,25.97,0.23
98261,48.481655,-122.882712,2179,72.09,1775,30.23,0.07
98262,48.699642,-122.666587,812,89.89,661,9.03,0.04
98264,48.943476,-122.457236,16795,268.39,6163,62.58,0.34
98270,48.061269,-122.158802,34724,2398.48,12919,14.48,0.1
98271,48.093129,-122.216143,23330,509.28,8459,45.81,0.24
98272,47.860245,-121.937343,23347,224.38,7823,104.05,0.63
98273,48.414576,-122.351966,25217,293.26,9491,85.99,0.51
98273,48.414576,-122.351966,25217,293.26,9491,85.99,0.51
98274,48.371026,-122.244322,13477,142.35,5692,94.67,2.43
98275,47.916148,-122.302939,19093,1772.79,7496,10.77,0
98277,48.303774,-122.650931,36676,594.85,14159,61.66,0.56
