ZipCode,Latitude,Longitude,Population,PeoplePerSquareMile,HousingUnits,LandAreaInSqMi,WaterAreaInSqMi
99185,47.756616,-118.706282,1405,5.54,739,253.71,0.15
99201,47.663945,-117.431851,11265,4273.51,5954,2.64,0
99202,47.656692,-117.378994,19801,3247.85,8347,6.1,0
99203,47.629091,-117.406368,21010,4124.02,9658,5.09,0.01
99204,47.648941,-117.431745,9863,7189.7,6410,1.37,0
99205,47.69399,-117.439798,43739,4665.12,18953,9.38,0
99206,47.646994,-117.259128,31711,1483.42,13217,21.38,0
99206,47.646994,-117.259128,31711,1483.42,13217,21.38,0
99207,47.693741,-117.388296,38565,5866.47,16696,6.57,0
99208,47.740491,-117.439167,34581,734.37,14333,47.09,0.01
99212,47.668926,-117.306683,18347,1313.36,8474,13.97,0
99216,47.665819,-117.216998,21576,1701.13,9155,12.68,0
99216,47.665819,-117.216998,21576,1701.13,9155,12.68,0
99217,47.707542,-117.337764,11267,254.83,4382,44.21,0
99218,47.751674,-117.412408,13039,1128.37,4971,11.56,0.01
99223,47.614744,-117.358927,25222,825.46,10168,30.56,0.01
99224,47.632573,-117.493267,16084,130.21,6102,123.52,0.06
99301,46.270249,-119.094623,40905,80.15,13474,510.34,11.04
99320,46.263399,-119.479094,8286,57.68,3037,143.65,0.05
99322,45.963054,-120.255477,245,1.34,119,183.49,0
99323,46.191158,-118.879876,3629,33.5,1245,108.33,1.04
99324,46.044936,-118.384668,8455,1385.04,3439,6.1,0.01
99326,46.675704,-118.882306,3680,14.87,1151,247.47,1.55
99328,46.319087,-117.968879,3806,7.63,1878,499.14,0
99329,46.138753,-118.15325,231,37.63,92,6.14,0
99335,46.648121,-118.556523,288,4.01,143,71.85,0.04
99336,46.210957,-119.163695,40820,3071.46,17128,13.29,0.04
99337,46.169982,-119.104562,25215,180.76,9133,139.49,0.24
99338,46.192356,-119.239828,7614,169.16,2514,45.01,0
99341,46.912194,-118.636766,998,2.75,482,363.32,0.01
99343,46.581454,-119.121079,3086,17.58,838,175.56,0.6
99344,46.843397,-119.174435,13726,26.8,4349,512.16,2.65
99345,45.922025,-119.676879,222,1.81,72,122.46,0.22
99347,46.44754,-117.572955,2450,4.11,1300,596.61,0.04
99348,46.408852,-118.448766,1699,3.49,594,487.17,0.04
99349,46.726526,-119.885709,5564,36.21,1834,153.68,0
99350,46.208571,-119.745079,11399,25.28,3864,450.94,0
99352,46.279657,-119.281377,38753,751.03,16470,51.6,0.02
99353,46.297139,-119.35457,9294,437.95,3465,21.22,0
99356,45.816528,-120.283724,175,1.22,93,143.39,8.37
99357,46.922079,-119.671752,3746,16.19,1092,231.4,1.3
99359,46.523206,-118.193935,72,1.8,39,40.09,0
99360,46.059286,-118.672647,1171,6.04,446,193.74,0
99361,46.209202,-118.158845,1929,7.74,831,249.22,0
99362,45.986775,-118.079198,73,2.23,85,32.76,0
99371,46.782783,-118.286901,419,2.37,209,176.64,0.03
99402,46.230508,-117.129165,1709,4.76,737,358.87,0.04
99403,46.400365,-117.083137,18621,156.33,8207,119.11,0
