ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
98092,3.10,25,7.50,60.20,26.60,1.20,27.10,2.90,10.70,10.70,18.30,6.70,53,89.40,25
98102,0.70,62.20,2.40,23.50,6.90,0.90,18.50,2.60,6.90,10.70,41.80,22.80,29.30,96.90,64.60
98103,1.10,48.50,2.90,35.30,10.60,1.20,17.20,3.50,6.50,11.40,39.20,22.50,39.40,96,61.70
98105,1.10,62.30,1.90,28.50,6.90,0.80,15.90,2.20,5.30,6.20,37.50,31.50,28.30,97,69
98106,10.80,35.60,11.20,45.80,23.30,1.80,25.20,4.20,8,12.60,16.40,5.10,45.40,78,21.50
98107,2.30,44.40,5.80,34.50,16.70,1.30,21.80,6.40,6.20,13.40,32.70,14.40,40.50,91.80,47.10
98108,16.60,34.40,14.20,47.40,26.10,2.40,19.20,6,6.20,9.80,13.60,4.20,52.30,69.20,17.80
98109,1,49.80,1.80,31.70,10.90,1.20,21.20,5.90,7.10,11.50,39,19,33.60,97.20,57.90
98110,0.60,17.30,2.30,65.40,9,0.90,22.70,5.50,5.30,10.90,34.50,25.50,52.10,97.10,60.10
98112,1.20,39.50,3.10,42.50,6.20,1,17,5.30,4.90,11.60,36.30,31.40,48.90,95.80,67.70
98115,1.10,34.90,2.30,49.70,9.80,0.90,17.60,5,5.10,9.50,36.80,27.30,51.50,96.60,64.20
98116,1.90,30.60,3.80,47.30,17.90,1.10,22.50,7.10,6.90,13.90,30.70,16.30,52.20,94.30,47
98117,2,31.80,5.50,48.80,16.20,1.30,21.70,5.80,6.90,12.30,32.50,15.20,54.80,92.50,47.70
98118,13.10,35.30,11.80,46.10,22.20,2.60,19.40,6.10,6.10,10,17.20,10.10,55.10,75.10,27.40
98119,1,50,3.10,32.70,9.80,1,18.50,4.40,6.20,12,38.70,22.70,36.90,95.90,61.40
98122,5.60,56.60,9.40,25,14.60,2.50,21.40,4.80,7.40,11.10,27.90,13.70,34.80,85,41.60
98125,2.80,35.70,6.10,45.20,18.40,1.20,21.70,6.70,7.10,11.20,26.20,17.70,47.70,91.20,43.90
98126,6.80,31.80,9.10,48,19,1.90,24.30,5.90,7.70,12.30,22.70,10.50,51.60,84.20,33.20
98133,3.80,34.70,7.50,43.70,20.50,1.20,26.10,8,8.10,12.40,23.30,10.80,48.70,88.70,34
98133,3.80,34.70,7.50,43.70,20.50,1.20,26.10,8,8.10,12.40,23.30,10.80,48.70,88.70,34
98134,5.80,23.40,18.10,18.40,26.40,21.10,28.90,3.30,4.60,33.80,15.20,1,18.40,76.10,16.20
98136,1.70,26.50,3.10,53.60,16,0.60,23.50,6.50,9.10,12.80,31.40,15.30,54.70,95.30,46.70
98144,12,39.80,10.90,39.20,18.20,2.30,18.30,7.50,6.50,11.30,21.10,13.20,49.90,77.20,34.30
98146,7.80,27.70,12.40,53.30,27.80,1.90,24.30,5.40,7.10,11.70,14.60,6,52,79.80,20.60
98146,7.80,27.70,12.40,53.30,27.80,1.90,24.30,5.40,7.10,11.70,14.60,6,52,79.80,20.60
98148,5.20,29.10,10.70,43.70,25.90,2.50,31.70,6,8.40,18.70,14,4.10,44.30,84.10,18.10
98148,5.20,29.10,10.70,43.70,25.90,2.50,31.70,6,8.40,18.70,14,4.10,44.30,84.10,18.10
98148,5.20,29.10,10.70,43.70,25.90,2.50,31.70,6,8.40,18.70,14,4.10,44.30,84.10,18.10
98155,3.10,26.80,6.40,55.70,19.90,1.10,23.60,5.90,6.90,10.50,26.20,13.80,56.70,90.50,40
98155,3.10,26.80,6.40,55.70,19.90,1.10,23.60,5.90,6.90,10.50,26.20,13.80,56.70,90.50,40
98166,2.80,22.20,6.60,57,23.90,1.50,25.30,6.70,8.50,12.50,22.60,10.30,58.10,90.60,32.90
98166,2.80,22.20,6.60,57,23.90,1.50,25.30,6.70,8.50,12.50,22.60,10.30,58.10,90.60,32.90
98168,7.50,30.90,13.70,48.80,32,2.50,25.50,5.50,7.30,12.30,10.30,3.70,49,78.70,13.90
