ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
98406,2.70,30.80,8.30,46.50,23.70,1.60,26.80,9.20,7.80,11.90,19.50,11.20,52,89,30.70
98407,2.40,25.20,6.80,53.60,24.30,0.80,27.20,7.30,7.70,13.10,19.40,12.10,57,90.80,31.50
98407,2.40,25.20,6.80,53.60,24.30,0.80,27.20,7.30,7.70,13.10,19.40,12.10,57,90.80,31.50
98408,5.20,27.30,13.60,48.90,34.30,2.80,27.90,6.20,7.50,14.80,7.40,4.10,52.60,81.20,11.50
98409,6.40,30.70,14.40,43.40,35.30,3,27.60,6.80,7.80,16.10,6.90,1.60,42.10,79.20,8.50
98422,1.60,20.40,5,65,21.90,1.20,27.90,2.90,9.10,10.50,23.60,10.90,46,93.40,34.50
98424,6.10,35,13.10,41.40,32.30,3.60,29.80,4,7.80,16,8.30,2.40,32.70,80.70,10.80
98433,1.30,38.20,2.10,55,22.70,2.20,45.20,0.40,12.10,4.20,12,4.50,8.10,96.60,16.60
98433,1.30,38.20,2.10,55,22.70,2.20,45.20,0.40,12.10,4.20,12,4.50,8.10,96.60,16.60
98439,1.70,29,7.80,60.10,27.60,4,38.20,1.10,12.60,5.80,9.10,3.10,14.40,90.50,12.20
98439,1.70,29,7.80,60.10,27.60,4,38.20,1.10,12.60,5.80,9.10,3.10,14.40,90.50,12.20
98443,2.90,20.60,10.30,61.60,35.40,1.40,29.70,6.50,7.40,9.90,10.30,4,63.10,86.80,14.30
98444,5.20,32.90,12.50,43.50,35.50,2.70,27.60,5.80,7,15.20,8.50,3.60,38.20,82.30,12.10
98445,3.70,23.10,12,57.90,33,1.30,30.40,5.10,7.90,12.50,8.90,4,50,84.20,12.90
98446,4,22.60,9.90,58,32.80,1.90,32.60,6.30,7.80,11.20,9.20,3.70,55.30,86.10,12.90
98465,4.30,26.40,8.30,49.70,27.20,1.30,28.90,6.60,6.90,16,15.70,8.70,50.20,87.40,24.40
98466,2,26.20,5.60,52.30,23,1.90,27.70,5.90,8.90,13.70,20.50,12.40,48.40,92.40,32.90
98466,2,26.20,5.60,52.30,23,1.90,27.70,5.90,8.90,13.70,20.50,12.40,48.40,92.40,32.90
98466,2,26.20,5.60,52.30,23,1.90,27.70,5.90,8.90,13.70,20.50,12.40,48.40,92.40,32.90
98467,2.60,23.70,6.80,59.10,19.90,1.50,27.80,4.60,9.60,11.10,21.60,11.70,43.20,90.60,33.40
98498,3.40,21.20,8.20,57,25,2.20,28.50,6.60,9.80,13,14.90,10.20,48,88.40,25.10
98498,3.40,21.20,8.20,57,25,2.20,28.50,6.60,9.80,13,14.90,10.20,48,88.40,25.10
98499,5.50,26,11.80,46.80,31.10,3.80,24.90,6.30,7.70,17.20,12.50,6.50,39.20,82.70,19
98501,2.20,26,4.90,53.80,22.20,1.50,26.50,4.70,7.70,14,22.90,13.70,46.40,93,36.60
98501,2.20,26,4.90,53.80,22.20,1.50,26.50,4.70,7.70,14,22.90,13.70,46.40,93,36.60
98502,2.50,32.30,5.30,50.90,17,0.70,23.60,4.50,6.50,11.50,26.50,18.70,46.20,92.20,45.20
98503,3.10,24.60,8.40,55.50,22.10,1.80,33.20,6.30,8.30,11.80,15.70,9.30,45.30,88.60,24.90
98506,2.60,25.80,7.10,52,20,1.80,25.50,7.50,7.90,12.80,23,13.90,47.60,90.30,36.90
98506,2.60,25.80,7.10,52,20,1.80,25.50,7.50,7.90,12.80,23,13.90,47.60,90.30,36.90
98512,2,22.50,7.30,59.10,23.50,1.40,26.90,5.10,7.80,12,21.30,11.10,50.20,90.70,32.40
98512,2,22.50,7.30,59.10,23.50,1.40,26.90,5.10,7.80,12,21.30,11.10,50.20,90.70,32.40
98513,2.80,21.50,6.60,62,25,1.60,31.50,4.10,8.60,10.80,17.50,8,49.60,90.60,25.50
98513,2.80,21.50,6.60,62,25,1.60,31.50,4.10,8.60,10.80,17.50,8,49.60,90.60,25.50
98516,3.40,21.80,8.30,59.70,22,1.30,26.70,4.90,9.90,12.20,17.70,12,48.50,88.30,29.70
98520,6.50,24,12.90,52.20,33.10,2,27.10,7.70,8,14.10,7.70,4.70,53.30,80.60,12.50
98526,13,26.80,12.30,53.50,33.60,2.30,21.60,7.60,8.90,9.90,8.60,2.10,59,74.70,10.60
98528,2.20,21,11.40,59.30,31.70,2,31.90,5.40,8.30,12.30,10.80,3.60,57.30,86.30,14.50
98531,6.90,22.20,15,54.10,30.30,2,25.60,9.60,8.40,12.10,8.40,5.40,53.50,78.10,13.70
98532,4.20,21.20,9.40,61.40,32.60,1.20,28.60,6.20,8.90,10,9.20,7.10,53.90,86.40,16.40
98537,3.70,21,10.70,59.80,34.10,1.80,24.50,6.80,11,10.50,9.50,6.40,63.90,85.60,15.90
98538,1.90,18.50,18,62.10,39.30,3.20,22.30,3.60,7.80,12.50,5.80,4.90,51.80,80.10,10.70
98541,5.30,20.90,14.10,56.40,38.90,1.90,23.90,5.80,8.20,15.10,6.90,2.60,58,80.50,9.60
98546,2.50,15.90,11.70,67.50,31.90,1.80,29.20,5.10,7.30,9.70,10.80,6.50,60.80,85.80,17.30
98550,6.40,24.70,17,49.50,35.20,2.30,25.40,9.30,6.40,14.20,6,3.70,57.50,76.60,9.60
98557,5.20,20.50,14.90,55.30,36.50,0.80,26.80,8.80,7,14.50,6.80,2.80,56.90,79.90,9.60
98563,3.20,21,10.40,59.20,31.80,0.80,29,7.50,7.50,11.40,10.90,7.20,62.10,86.40,18.10
98564,5.90,22.10,12.90,58.90,40.40,2.10,22.90,5.90,6.30,11,7.60,4,56.60,81.20,11.60
98565,4,19.80,16.30,53.10,40.90,4.30,21,8.30,4.30,14.50,9.40,4,53.90,79.70,13.40
98568,6.10,26.80,13.20,53,38.60,2.40,27.40,6,6.80,11.90,5.70,2.20,56.20,80.70,7.90
98569,2,16.40,9.50,57.40,33.50,0.60,29.90,9.50,8.10,16,8.90,8,47.60,88.50,16.90
98570,4.40,23,16.80,62.50,35.20,1.10,28.60,4.80,6.20,8.60,5.90,2.80,55.90,78.80,8.80
98571,1.90,24.80,11.30,54.20,24.80,2.20,24.10,7.40,10,11.40,13.80,14.10,61.20,86.80,28
98572,3.60,14.70,17.70,58.50,37.40,1.50,30.10,8.70,6.70,16.60,2.90,1.60,56.70,78.70,4.50
98576,3.90,20.60,11.80,57.80,35.60,1.30,30.10,8.20,6.20,12.10,8.80,3.60,57.50,84.20,12.40
98577,6.80,18.50,15.10,60.20,36.10,1.20,23.80,9.60,7,10.50,7.60,3.70,61.20,78.10,11.30
98579,3.50,22.30,13.60,60.80,33.30,1.80,27.50,3.80,9.50,11.30,8.30,4.30,51.60,82.90,12.60
98580,2.80,20.10,12.40,63.70,35.90,1.20,28.60,5,8.10,10.10,7.10,5,53.70,84.80,12.10
98584,4.60,23.20,13.50,54.10,31.80,2.20,28.10,6.90,7.20,13.50,9.70,5.10,52.40,81.90,14.80
98586,10.80,20.30,12.80,58.20,33.30,1.70,22.20,8.90,3.80,10.90,10.50,6.60,64.10,76.40,17.10
98587,6.90,36.80,19.80,44.50,28.60,3.60,24.10,4.60,8.20,10.60,9.70,2.80,66.50,73.30,12.50
98589,3.30,21.60,12.30,61,32.40,1.10,29.10,5.30,6.10,11.10,12,4.70,54.80,84.40,16.70
98591,4.10,18.30,18,62.80,38.50,0.90,21.70,6.90,6.20,11.10,7.10,4.40,57,77.90,11.50
98595,6,20,13.40,54.80,36.60,1.80,27.70,8.70,5.50,14.70,6.70,4.10,59.10,80.60,10.80
98596,3.60,21.30,12.90,62.40,32.20,1.40,32.20,6.20,9.10,8.60,5.70,4.30,54.60,83.50,10
98597,2.70,21.90,12.90,57.80,33.70,1.60,27.70,4.70,8,13.90,8.60,6.30,50.20,84.30,14.90
98601,1.80,21.90,16.40,64.50,35.40,0.70,32.30,3.30,5.10,9.60,6,3,56.20,81.80,9
98603,5.90,18.10,18,60.10,37.60,2.80,21.10,1.20,13.20,17.90,2.20,2,35.90,76,4.20
98604,2.80,19.60,9.30,66.80,28.40,0.90,30.30,4,8.90,8.70,13.10,7.30,50.30,87.90,20.40
98605,9,24.80,16.50,55.30,30.90,2.90,22.10,5.60,4.60,11.50,13,3.90,49.50,74.50,16.90
98606,1.30,18.10,5,69.40,23.60,0.60,27.90,3.50,12.10,8.40,20.20,9.90,58.20,93.70,30.20
98607,1.60,18.60,6.70,66.50,24.50,1.60,29.90,4.50,7.70,8.90,17.60,12,41.10,91.70,29.60
98610,5,21.70,11.70,56.50,37.30,2,29.40,6.30,3.50,13.50,8.60,4.60,42.50,83.30,13.10
98611,3.10,18.30,13.20,62.50,37.20,1.30,29.40,7.40,7,10.50,6.70,3.50,66.40,83.70,10.10
98612,3.10,18.60,11.50,60.60,32,1.30,31.90,6.30,5.30,13.20,9.90,6.30,61.90,85.40,16.20
98613,2.30,8.90,17.20,78.30,30.70,0.50,27,2.60,4.60,9.70,13.20,4.90,57.80,80.50,18.10
98617,7.90,16.60,16.60,69.10,39.70,1.20,27.70,5.10,2.70,7.90,1.90,3.60,60.30,75.60,5.40
98619,0.30,21.50,8.90,61.60,46.70,1.50,22.60,4.70,8.30,10.60,9.50,3.60,74.90,90.80,13.10
98620,6.60,20.10,10.40,59.70,34.90,2.40,26.60,6.90,6.60,10.90,11.10,3.80,44.50,83,14.90
98624,4.60,18.10,9.30,60.60,29.60,1.50,24.50,8.70,5.90,11,15.70,10.40,56.30,86.10,26.10
98625,2.90,16.30,11.50,63.10,34.40,1.10,28.20,4.20,7.60,15.30,11.70,3.70,57.80,85.60,15.40
98626,3.90,21.30,12.90,58.10,33.40,2.10,28.90,6.40,8.50,12.10,7.20,5.30,52.60,83.20,12.40
98628,4.10,21.50,22.90,68,38.20,0,20,5,6.50,5.50,4.10,4.10,63,72.90,8.20
98629,2.50,17.40,10.40,67.60,28.50,0.80,32.90,3.20,8.30,11,12.90,4.50,48.70,87.10,17.40
98631,4.80,17.20,14.30,56.50,27.80,1.80,29,11.10,7.90,13.30,9.20,7.10,53.70,80.90,16.20
98632,4.40,21.60,12.80,55.70,30.90,2.10,28.20,7.50,8.90,13.10,9.30,5.40,50.20,82.70,14.80
98635,5.90,18.70,12.50,62,36.60,1.90,23.70,7.40,5,9.90,9.60,6.80,51.40,81.70,16.40
98638,6.80,26.60,8.10,55.40,31.60,0.50,27.80,7.50,9,9.90,11.30,5.30,56.60,85.10,16.70
98640,6.70,12,16.90,62.80,28.70,1.10,26.80,9.70,4.60,14.40,9.20,7,51.20,76.40,16.20
98642,2.40,18.20,6.40,66,26.10,1.20,29.40,4.60,8.40,10,19,8.30,59,91.20,27.30
98648,4.40,20.50,10.90,57.80,33.10,2.90,27.10,7.10,7.70,11.70,11.80,5.10,52.70,84.80,16.90
98648,4.40,20.50,10.90,57.80,33.10,2.90,27.10,7.10,7.70,11.70,11.80,5.10,52.70,84.80,16.90
98649,4.20,21.40,14.80,58.40,38.10,1.80,28.50,5.50,5.50,12.80,5.80,3.10,64.80,81,8.80
98650,2.90,26.10,9.70,59.90,31.90,2.30,23.90,2.60,5,9.10,17,9.50,69,87.40,26.50
98660,7,27.80,15.40,40.10,28.80,2.80,24.40,8.30,6.30,21.10,11.20,7,40.80,77.60,18.10
98661,6.30,28,12,47.60,28.10,2.70,28.20,6.20,7.30,15.50,11.50,6.50,36.20,81.60,18
98662,2.30,21.60,11.70,57.70,29.60,2.20,29.10,6.30,8.40,12.20,12.50,6.30,44.40,86,18.80
98662,2.30,21.60,11.70,57.70,29.60,2.20,29.10,6.30,8.40,12.20,12.50,6.30,44.40,86,18.80
98663,3.80,26.20,10.60,46.50,29.10,2.30,29.50,6.70,6.40,18.30,12.90,7.70,43.70,85.60,20.60
98664,4,24.10,9.70,54.70,26,1.80,30.30,6.20,8.70,13.30,13.90,7.40,43.80,86.30,21.20
98665,4.40,23.70,8.30,54.20,28,1.80,30.80,6,7.60,14.30,12.80,8.10,46.20,87.30,20.90
98671,3.60,22.80,9,58,30.50,2.60,30.70,5,8.70,11.50,12.10,5.30,53,87.30,17.40
98672,8,17.90,10.50,64.70,31.30,1.70,23.90,5.70,6.70,10,12.50,7,61.60,81.50,19.50
98673,3.30,17.20,9.80,41.80,54.50,3.70,27.60,14.90,0,22.40,3.30,1.60,46.10,87,4.90
98674,3.80,21.60,11.80,63.80,32.70,0.80,32.10,3.90,7.70,9.90,8.20,3.70,50.40,84.40,12
98675,3.10,17.50,15.60,70.70,34.70,1,26.40,3.40,9,7.30,7.50,3.70,60.70,81.30,11.10
98682,2.40,23.60,9.10,59.20,28.90,1.90,34.20,3.50,8.50,11.80,12.30,4.70,41,88.50,17
98683,2,21.10,5.60,60.60,22.50,1.70,30.10,5.30,8.20,11.20,21.10,10.50,33.40,92.40,31.60
98684,1.90,24.40,9.80,57.90,26.10,1.70,34.40,3,8.40,13,13.50,5.90,38.20,88.30,19.40
98685,1.50,22,4.60,62,23.40,0.90,30.50,4.30,10.50,10.70,18.50,11,49.40,93.90,29.50
98686,2.60,21,6.90,64.70,22.10,1.70,30.40,3.40,8.70,9.20,20,9.20,51.40,90.50,29.20
98801,10,22.90,10.90,57.80,24.40,1.50,22.60,6.70,8.40,11.20,15.20,8.60,50.20,79.10,23.70
98802,6.80,20.50,11,62,30.20,1.30,26.30,5.10,7.60,11.10,12.60,5.60,52.80,82.30,18.20
98812,23,22.90,19,59.70,27.50,2.40,17.90,7.70,4.30,7.30,4.60,3.80,49.90,58,8.40
98813,34.20,26.50,12.80,57.90,21.80,4.30,20,5.40,3.40,5.90,6.10,1.60,49.80,53,7.70
98815,11.80,22,10.90,62.80,28.50,1.10,24.10,5.50,7.10,8.70,11.80,5.90,53.80,77.30,17.60
98816,10.30,20.30,12.10,58.60,21.50,1,29.60,6.90,5.10,13.10,14.50,7,50.60,77.60,21.40
98822,9.20,15.50,14.40,66.80,30.50,1.70,23.70,4.90,8.30,11,10.20,3.60,48.70,76.30,13.80
98823,8.80,20.40,9.50,61.50,26.50,1.60,29.40,6.40,6.40,10.10,13.60,5.80,50.80,81.70,19.40
98826,3.20,17.70,9.40,65.50,31.20,1.30,26.50,5.60,4.90,9.90,18.70,6,52.10,87.40,24.70
98830,5.50,14.10,7.80,62.80,34.60,2.60,29.90,10.40,7,10.20,12.20,2.90,63.50,86.60,15.10
98831,19.10,25.30,8.50,58.40,26.70,2.10,22.90,5.60,7.10,8.60,10.40,5.30,56.70,72.40,15.70
98837,9.10,24.40,11.40,58,29.30,1.40,26.70,6.60,8.70,9.60,9.40,5.40,47.60,79.50,14.80
98840,10.60,24.10,13.30,54.60,29.10,1.90,22.90,6.70,6.60,12.60,11.50,6,55.20,76.10,17.50
98841,8.50,25,12.90,55.40,32.40,1.70,23.50,6.70,7.10,11.30,8.70,6.90,52.90,78.60,15.60
98843,26.20,19.20,14.90,72.90,21.80,0.30,20.60,1.90,4.50,5.70,8.70,3.30,59.40,58.90,12
98844,10.50,21.40,16,55,34.10,3,25.10,6.80,2,13.80,7.70,4.50,52.70,73.40,12.20
98845,5.50,3.60,5.50,87.30,45.50,0,29.10,9.10,14.50,0,0,0,87.70,89.10,0
98846,15.20,14,12.70,67.40,28.20,1.10,23.50,8,3.60,9.60,9.90,6.90,49.40,72.10,16.80
98847,10.10,27.40,8.70,67.30,24.80,0,27.80,0,8.30,5.30,17,3.30,68.20,81.20,20.30
98848,24,24.70,14.80,62.90,23.70,1.50,20.30,5,4.20,5.90,8.30,4.60,57.70,61.10,12.90
98850,16.60,21.40,19.10,63.60,25.10,1.40,24.80,5.50,7.30,8.10,4.80,2.30,55.20,64.40,7.10
98851,8,17.60,19.60,55.20,34.20,2.50,19.80,9.80,6.90,14.90,8.60,2.90,48.40,72.40,11.50
98852,7.60,36.50,16.70,48.60,7.60,4.10,47,0,4.50,10.80,16.70,0,56.80,75.80,16.70
98855,9.20,19.80,13.90,58.70,32.50,2.10,25.20,7,6.30,12.50,8.30,4.60,53.60,76.90,12.90
98856,1.70,18.30,13.10,58.70,32.50,1.50,21,7.20,5.60,14.30,16.20,10,54.10,85.20,26.10
98857,25.70,21.30,16.30,65.70,25.40,0.90,18.90,5.10,5.20,7,6.50,2.30,56,58.10,8.70
98858,6,15.50,8.20,66.20,31.50,0.60,26.30,8.40,8.80,9.30,14.90,4.30,65.20,85.80,19.20
98860,4.20,6.30,12.60,64.10,38.90,1,25.80,10.40,8.40,18.20,8.90,1.10,59.10,83.20,10
98862,1.90,15.90,7.70,61.90,18.80,1.50,27.60,6.20,7.50,14.60,26.50,10,55.10,90.40,36.50
98901,22.10,30.60,17.10,51.50,26.90,3,19.10,5.40,3.80,9.60,7.50,3.50,47.10,60.80,11
98902,13.20,25.70,14.50,51,28.30,2.50,22.10,7.90,5.70,12.90,10.30,5.90,46.70,72.30,16.20
98903,12.30,19.30,20,59.60,32.90,2.50,19.50,6.60,3.90,12,6.30,5.10,61.80,67.70,11.30
98903,12.30,19.30,20,59.60,32.90,2.50,19.50,6.60,3.90,12,6.30,5.10,61.80,67.70,11.30
98908,4.20,19.60,8.20,63.90,25.50,1.20,27.40,6.40,7.70,9,16.80,10.10,57.50,87.50,26.90
98922,3.10,14.50,12.40,62.40,36.60,1.40,30.30,7,3.30,14.60,10.20,4,53.10,84.50,14.20
98922,3.10,14.50,12.40,62.40,36.60,1.40,30.30,7,3.30,14.60,10.20,4,53.10,84.50,14.20
98923,9.20,24.30,8.30,65.90,35.20,1.20,18.90,2.30,5.30,6.20,19,4.20,49.80,82.50,23.20
98925,0.50,14.70,13.20,62.30,47.80,2.40,21.40,1.40,5.90,19.10,10.40,0.90,54.20,86.40,11.30
98926,4.30,40.40,7.60,45.70,27.90,1.10,22.90,4.30,6.50,8.40,19.30,11.70,40.80,88.20,30.90
98930,24,26.90,12.70,60.40,25.60,2.70,18.50,4.50,6.10,5.60,7.80,5.20,58.70,63.20,13
98932,37.20,29.90,17.90,58.80,22.70,2.20,14.90,3.70,2,5.40,3.80,1.70,58.90,44.90,5.40
98933,18.10,28.40,14.90,58.80,29.10,4,17.40,4.10,6.40,4.60,8.30,5.90,56.30,67.10,14.20
98934,6.90,25.80,16.60,54.80,41.50,0,15.20,5,4.50,14.40,12.50,2.80,36.30,76.50,15.20
98935,40.50,34.90,11.80,54.50,28.40,3.10,10.20,4,2.50,3.50,5.40,1.10,62.10,47.70,6.50
98936,11.60,20.90,11.10,63.80,38.60,1.60,22.90,3.80,5.80,9.90,7.70,2.30,66.10,77.30,10
98936,11.60,20.90,11.10,63.80,38.60,1.60,22.90,3.80,5.80,9.90,7.70,2.30,66.10,77.30,10
98937,5,16,12.80,65.20,36.50,2.70,26.10,6.80,5.90,9.20,9.40,4.40,64.30,82.30,13.80
98938,31.40,31.70,10.90,58.10,24,1.90,15,3.80,7.20,4.50,9,2.40,68.50,57.70,11.50
98941,2.70,21.70,12.20,54.30,38.70,2.40,21.40,8.20,4.30,13.50,15.40,5.40,63.60,85.20,20.80
98942,5.40,20.40,12.70,63.70,28.60,1.90,25.60,3.80,6.20,10.20,13.40,8.10,54.80,82,21.60
98944,32.90,29.70,15.40,56.10,23.80,2.50,13.70,5.40,3.90,6.30,6.40,3.90,44.80,51.70,10.30
98946,2.60,15.60,10.10,64.50,30.80,0,25,3.90,7.80,15.90,19.20,4.50,56.60,87.30,23.70
98947,21.80,21.80,17.90,64.80,24.10,1.40,20.60,4.90,5.10,7.10,8.10,2.40,48.70,60.30,10.50
98948,30.80,29.10,18,54.30,24.20,3.10,16.20,5.50,3.40,8,5.20,2.20,59.50,51.30,7.50
98951,28.30,32.90,18.30,52.10,26.80,2.70,14,5.30,2.90,7.10,7,2.80,65.40,53.50,9.80
98952,10.30,35.40,15.30,51.10,36.80,2.30,22.80,3.60,4.60,7.60,4.40,5.60,54.60,74.40,10
98953,15.70,23.70,12.80,61.20,26.70,1,22.90,5.50,5.80,8.70,11.40,4.70,53.40,71.50,16.10
99001,7,19.60,11.20,51.20,32.60,5.40,31.10,6.80,10.50,17,5.90,1.70,44.60,81.80,7.60
99003,4.10,19.20,11.80,68.70,30.50,0.70,28.80,3.40,9.50,8.10,8.80,6.60,64.40,84.10,15.30
99003,4.10,19.20,11.80,68.70,30.50,0.70,28.80,3.40,9.50,8.10,8.80,6.60,64.40,84.10,15.30
99004,1.60,39.70,4.60,47.10,20.90,1.30,26.90,3.10,8.40,8.70,25,12.70,38.50,93.90,37.80
99005,2.50,19.20,4.50,73.20,22.40,0.40,25.90,3.20,11.20,4,22.20,11.20,59.60,93,33.40
99006,3.70,20.40,11.60,65.20,33.50,1.50,27.90,4.20,10.40,8.80,8.50,4.50,56.10,84.70,13
99011,12.20,31.70,3.50,64.80,19.30,0.50,36.30,0.90,12.60,2.20,10.90,5.30,18.30,84.30,16.20
99016,3.10,21.20,10,59,32.60,1.60,25.90,5.40,11,12.70,12.80,4.60,56.90,86.90,17.40
99016,3.10,21.20,10,59,32.60,1.60,25.90,5.40,11,12.70,12.80,4.60,56.90,86.90,17.40
99017,1.30,25.40,11.10,66.70,30.10,2.80,20.30,3.40,7.80,1.70,21.60,7.80,72.20,87.60,29.40
99019,0.50,15.90,3.70,69.90,17.30,1,27.50,4.30,9.60,8.80,29.50,12,47.80,95.90,41.60
99021,2.20,20.70,7.10,64.90,27.50,0.80,25,4.40,13.90,9.20,16,8.30,62.90,90.70,24.30
99022,1.60,20.50,9,64.70,29.30,0.90,30.50,3.40,11.30,10.50,12.70,5.70,55,89.50,18.40
99025,1.10,20.80,6.40,66.50,28.30,1,34,2.70,11.80,9,12.80,5.60,67.10,92.50,18.40
99026,0.80,20.20,5.10,68.60,24.20,0.80,26.80,1.80,12.90,8.50,19.20,11.10,57.70,94.10,30.20
99027,2.50,20.10,8.50,63.10,33.50,0.90,27.80,5,13.30,10.90,9.50,4.90,64.60,89,14.40
99029,3,17.30,7.20,68.50,30.50,0.40,27.20,5.80,9.10,8.10,18.50,4.40,52.40,89.70,22.90
99030,0.40,23.60,10.20,58.40,44.50,0.30,21.70,7,7.20,10.70,13.80,2.10,82.20,89.40,16
99031,1.10,15.20,11,71,31.30,1.50,23.50,4.90,8.30,7.40,14.60,10.30,67.30,87.90,24.90
99032,5.40,14.90,12.90,63,33.50,1.10,26.20,9.10,5.80,11.90,12,4.10,56.30,81.70,16.10
99033,3.20,17.70,16.70,58.40,31.80,0.80,31.70,11.50,4.10,11.50,7.80,4.60,56.10,80.10,12.40
99037,2.10,20.30,5.10,66.40,27.40,0.90,30.40,4.80,9.50,7.50,17.30,8.20,53.90,92.70,25.50
99040,2.40,45,18.50,34.60,39.80,3.50,22.30,5.60,8.20,11.40,6,2.80,62.10,79.10,8.80
99101,1.20,20,12.20,64,37.70,2.40,30.70,5.80,9.20,7.80,5.90,3.20,53.40,86.70,9.20
99103,4.50,22.10,7.70,61.20,26.10,0.90,29.30,7.20,12.50,8.60,16.80,3.10,64,87.80,19.90
99105,0,11.60,7.90,76.70,31.60,0,50,0,0,11.60,7.90,2.60,86,92.10,10.50
99109,4.30,20.70,11,58.60,33.90,1.90,25.50,8.30,9.60,10.40,8.90,6.70,54.90,84.60,15.60
99111,4.90,17.70,7.50,62.80,31.90,1.70,23.60,9,7.80,8.80,18.40,5.90,60.70,87.70,24.30
99113,0,18.90,4.10,63.90,26.80,0,28,5.50,9.50,11.70,18.60,13,67.20,95.90,31.50
99114,4.10,19.60,10.70,59.20,35.40,1.50,25.80,8,8.30,11.80,10.50,5.20,54.10,85.10,15.60
99115,4.20,17.10,8.90,62.40,36.10,1.20,30.70,8.40,7.30,11,9,3.80,61.70,87,12.80
99116,3.30,23,9.40,55.10,29.90,1.70,31.60,8.30,7.40,11.90,11.70,6.70,65.90,87.30,18.40
99117,6.70,15.20,12.70,65.20,36.20,2,29.30,7.20,3.80,10.40,8.60,2.60,58.80,80.60,11.30
99118,3.90,27,12.70,57.20,36.50,0.80,27.20,3.20,8.50,11.90,8.20,3.10,43.50,83.50,11.30
99119,5.20,18,16.50,56,33,2.60,31.40,8.70,6.30,14.70,5.80,1.80,61.20,78.20,7.60
99122,3,14.70,11.80,62.70,29.60,0.90,26.60,9.50,9.70,12.20,14.10,5.30,58.20,85.20,19.40
99125,3.90,38.60,5.50,50.40,31.20,0.50,22.10,5,3.50,5.50,26,7.90,45.80,90.60,33.80
99130,2.70,19.70,9.30,62.90,27.40,2.60,29.90,6.40,5.60,8.40,18.50,6.60,66.60,88,25
99131,3,22.60,8.90,62.80,41.50,1.20,25.90,8.50,5.20,4.90,10.40,5.20,68.60,88.10,15.60
99133,5,17.70,12,59.90,33.70,2.20,30.10,8.20,7.10,12,7.80,4.30,56.80,83,12.10
99134,2.80,15.50,5.40,59.80,23.40,3.30,40.40,9.60,7.60,11.70,14.40,5.90,69.20,91.70,20.30
99137,7.70,20.20,11.40,62.60,47.30,0.80,19.50,4.90,1.80,11.50,9.50,2.70,64,80.90,12.30
99138,4.60,32.60,17,44.50,32.40,1.60,27.90,6.20,7.50,15.10,7.50,3.10,57.20,78.40,10.60
99139,5.70,16.20,12.60,63.60,39.70,1.30,24.60,9.70,7.40,9.20,4.60,5.40,54.10,81.80,10
99140,5.10,27.30,14.90,48.10,39.60,1.60,28.60,5.80,7.10,17.20,3.50,1.20,66.40,80,4.70
99141,3.80,18.50,12.90,64.40,40.10,1.30,24.10,5.70,6.30,10.10,8.80,4,61.50,83.30,12.80
99143,4.10,18.20,6.40,67.60,32.10,0.70,31.80,7.40,6,6.10,14.10,5.50,70.10,89.50,19.50
99148,4.60,18.60,11,61.50,35.20,2.40,25.40,5.40,6.80,12.10,9.20,7.70,62.40,84.40,17
99153,4.60,16.40,15.60,51,27,4.30,26.10,8.40,10.70,19.90,11.10,4.90,65,79.80,16
99155,7,39.90,13.80,37.80,32.20,2.20,29.20,5.90,8.60,14.30,6.80,2.40,56.70,79.30,9.20
99156,3.70,18.40,14.50,61,32.90,2.60,28.40,5.90,7.60,12.10,9,3.90,57.20,81.80,12.90
99157,3.30,19.60,16.40,59.20,40,1.30,18.70,4.10,4,15.80,12.20,5.30,56.70,80.20,17.60
99158,2.30,15.10,10.30,69.20,22.30,0.40,30.60,10.50,10.80,4.80,17.70,6,71.50,87.40,23.70
99159,8.10,17.40,11.80,67.30,29.70,1,28.10,6.70,7.20,7.60,11.20,3.80,61.40,80.20,15.10
99160,2.50,16.10,21.50,63.20,30.40,2.30,27.80,10.30,10.10,8,7.60,0,45.70,75.90,7.60
99161,1.90,18,5.80,65.20,31.10,0.90,24.90,5.90,7.80,10.10,18.70,9.90,62.50,92.30,28.60
99163,0.60,56.50,2.40,37.10,8.40,0.70,17.20,1.60,7.30,4.10,31.40,32.60,24.60,97,64.10
99166,3.40,18.60,11.90,61.60,31.70,2.20,31.20,6.20,7.70,11.40,8.50,5.80,50.50,84.70,14.20
99169,5.50,17.40,8.80,60.20,33.60,2.60,26.10,9.80,8.20,10.10,13.80,4.10,60.20,85.70,17.80
99170,2.20,17.10,7.50,67.90,32.80,0.70,30.50,6.50,10.10,7.90,12,5,66,90.30,17
99171,3.30,13.80,9,66.40,27.60,1.60,35.50,8,8.90,10.20,12,3.80,66.70,87.70,15.80
99173,2.90,16.20,17.10,61.90,38.30,1.60,23,3.60,8.20,16.70,7.20,3.40,53.90,80,10.60
99181,3,22.30,10.70,60.50,37.20,1.40,27.50,4.50,8.50,11.20,8.20,4.90,53.80,86.30,13.10
99185,2.20,14.60,7.60,71,36.60,0.70,25.20,6.60,9.50,7,15.80,3.20,61.10,90.20,19
