SchoolName,District name,ZipCodeID,SchoolCity,SchoolID,APNumberOfTestTakers,Enrollment,APTotalTestsTaken,ApPercentOfSchoolInHardClasses,ApGoodScoresPercentPerStudent,APNumberOfHighScores,SATCriticalReadingMean,SATMathMean,SATWritingMean,PsatSophomoreNumberOfTestTakers,PSATJuniorNumberOfTestTakers,PSATSophomoreMathMean,PSATSophomoreCriticalReadingMean,PSATSophomoreWritingSkillsMean,PSATJuniorCriticalReadingMean,PSATJuniorMathMean,PSATJuniorWritingSkillsMean,Graduates,Cohort,Continuing,GraduationRate,ContinuingRate,FailRate,MedianIncome,CostOfLivingIndex,WalkScore,Population,CollegeDegreePercent,MaleToFemaleRatio,MarriedPercent,MedianAge,OwnerOccupiedHomesPercent,DivorcedPercent,SinglePercent,MedianMortgageToIncomeRatio,BachelorsOrHigher,GraduateOrHigher,SomeCollegeOrHigher,UnderHighSchool,LivedInSameHomeForOver5Years,TeacherBadPercent,TeacherPeerBadPercent,PrincipalBadPercent,StaffCostPerStudent,TotalCostPerStudent,StudentToTeacherRatio,TeacherCertificationPercentage,RevenuePercentGoingToBasicEd,EslToBasicEdRatio,AvgTeacherCost,PeoplePerSquareMile,HousingPerSquareMile,PercentWaterInZipCode,Latitude,Longitude,ZipCodeID,EarlyStudentCount,ElementaryStudentCount,HighSchoolCount,MiddleSchoolCount,TotalStudentCount,PreschoolPercent,ElementarySchoolPercent,MiddleSchoolPercent,HighSchoolPercent,MedianHousePrice,AverageRentPrice,ChildrenInPovertyPercent,PoorPercent,Burglary,Theft,CarTheft,ProficientInReadingAndMath,ProficientInReading,ProficientInMath,ViolentCrime,PropertyCrime,Assault,Murder,Rape,Robbery
Squalicum High School,Bellingham School District,98226,Bellingham,4515,199,1341,336,0.148396719,0.092306,209,525,544,510,22,212,39.725,38.725,37.35,47.175,48.7,44.4,260,345,5,75.4,1.4,23.2,44100,179.4,20,56513,31.5,93.1,58.3,36.2,70.3,9.9,31.8,24.4,31.5,10.8,26.5,9.8,46.7,0.0026109,0,0,5134.986327,5500.693728,24.0648386,0.90902398,0.571711654,0.053968318,112330.4723,327.2,137.2544475,0.00986861,48.759079,-122.435972,98226,73,4029,3650,2425,10993,0.006640589,0.366505958,0.220594924,0.332029473,321566.6667,1066.666667,16.64285714,38.8,1080273,3094522.5,368643,0.621428571,0.708571429,0.534285714,18.66666667,254.3333333,202,2,43,77
Blaine High School,Blaine School District,98230,BLAINE,3136,101,647,187,0.1561051,0.07513,90,539,528,512,14,66,54.425,53.1,49.075,50.875,51.075,47.075,150,172,3,87.2,1.7,11.10001,40827,146,20,10704,21.4,95.1,62.3,39.9,69.5,11.7,26,26.6,21.5,7,28.7,14.9,45.4,0,0,0.2,5150.74711,5640.658514,23.29462123,0.914054918,0.577171875,0.042258403,109672.6078,263.41,188.6709171,0.00122459,48.961443,-122.73714,98230,35,813,671,547,2209,0.015844273,0.368039837,0.247623359,0.303757356,308076,985,9.7,44.05,,,,0.63,0.72,0.545,4,49,,,,
Burlington Edison High School,Burlington-Edison School District,98233,BURLINGTON,2362,100,1150,141,0.086956522,0.057354,93,521,537,506,77,106,48.525,47.95,46.45,48.925,50.425,47.075,236,272,0,86.8,0,13.2,44454,161.1,17,12461,16,93.1,62.3,34.2,64.9,10.6,27.1,25.8,16,5.9,32.3,17,49.7,0,0,0,4419.334795,4788.023356,25.12031308,0.931934144,0.497196053,0.155563618,103458.7377,395.28,152.0517677,0.000630915,48.486892,-122.333664,98233,31,1434,1205,852,3815,0.008125819,0.375884666,0.223328965,0.315858453,280200,955,,11.9,,,,,,,,,,,,
Concrete High School,Concrete School District,98237,Concrete,2810,0,160,0,0,0,0,509,505,489,3,13,11.1,12.125,11.625,49.225,49.525,45.025,35,44,1,79.5,2.3,18.2,34038,126.4,23,2856,10.1,103.7,57.9,36.5,70.6,14.2,27.9,30.3,10.1,3.3,28.8,21.3,51.3,0,0,0,5007.646021,5742.773586,21.48226975,0.955710114,0.460494639,0,102811.0915,21.64,9.884801189,0.002224694,48.497601,-121.700181,98237,4,197,182,154,582,0.006872852,0.338487973,0.264604811,0.312714777,0,,,23.5,,,,,,,,,,,,
Coupeville High School,Coupeville School District,98239,Coupeville,2625,6,330,7,0.018181818,0.007792,3,536,536,523,15,39,50.4,49.05,45.825,50.625,52.1,47.75,82,91,1,90.1,1.1,8.800003,46235,182.8,23,5845,33.3,89.5,66.5,46.5,77.6,10.1,23.4,26,33.3,13.1,29.7,6.8,50.2,0,0,0,4566.609364,4924.669639,23.82352941,0.936440678,0.523103692,0.026353276,101877.9589,192.72,97.55533532,0.021654816,48.204162,-122.667239,98239,15,381,335,251,1036,0.014478764,0.367760618,0.242277992,0.323359073,285000,900,4.8,34.2,1079946.5,3092951.5,368572,0.68,0.77,0.59,2,17,4,0,0,2
Darrington Sr High School,Darrington School District,98241,DARRINGTON,3188,10,165,17,0.060606061,0.017825,5,373,379,338,6,7,36.025,35,32.85,37.175,39.925,34.075,33,38,0,86.8,0,13.2,35568,130.9,23,2120,10.7,90,60.4,38.2,76.2,12.3,27.3,25.9,10.7,4,27.5,25.3,57.3,0,0,0,5066.385823,5782.887885,19.6,0.959183673,0.464849052,0,95248.05348,15.68,6.825116428,0.001923385,48.265483,-121.560752,98241,2,179,165,98,469,0.004264392,0.381663113,0.208955224,0.351812367,232064,,,57.6,,,,,,,,,,,,
Mount Baker Senior High,Mount Baker School District,98244,DEMING,2343,10,651,10,0.015360983,0.00768,5,526,527,514,80,79,47.8,44.575,42.15,47.9,50.7,47.125,150,188,9,79.8,4.8,15.39999,50833,151.6,23,2459,18.2,109.6,61.8,36.6,80,6.2,32,22,18.3,4.8,30.1,10.7,58.5,0,0,0,5212.945879,5649.824376,21.28096665,0.930330647,0.553643027,0.062532693,103207.6513,17.32,9.721605212,0.002732039,48.841442,-122.125478,98244,24,746,655,449,2003,0.011982027,0.372441338,0.224163754,0.327009486,243500,,,20.8,,,,,,,,,,,,
Orcas Island High School,Orcas Island School District,98245,EASTSOUND,2750,35,135,42,0.259259259,0.166666,27,575,545,557,0,30,0,0,0,51.875,51.175,49.8,22,27,1,81.5,3.7,14.8,42633,298.6,6,3318,37.3,91.8,58.9,44.8,67.6,18.6,22.5,28,37.3,12.7,32.8,4.7,43.4,0.0196078,0,0,5718.563093,6477.718173,18.10380459,0.973612165,0.558767794,0.032514924,100795.8756,96.63,60.04806248,0.002994909,48.672312,-122.919728,98245,6,299,155,179,684,0.00877193,0.437134503,0.261695906,0.226608187,551600,,15.8,29,2159878,6185867,737142,0.55,0.61,0.5,3,33,,,,
Nooksack Valley High School,Nooksack Valley School District,98247,Everson,2459,38,485,47,0.078350515,0.030006,18,511,522,493,18,39,47.875,44.65,42.25,47.725,48.925,44.85,106,137,5,77.4,3.6,19,42191,152.4,14,7812,16.3,102.4,65,32.3,73,8.3,26.7,24.7,16.4,4.6,26.5,17.1,58.6,0,0,0,4773.472503,5212.31831,24.02348654,0.915865048,0.490365754,0.118461891,105027.2387,123.39,42.93272865,0.001207912,48.900256,-122.320954,98247,32,587,482,378,1604,0.019950125,0.3659601,0.235660848,0.300498753,296913,955,12.6,17.2,,,,,,,,,,,,
Ferndale High School,Ferndale School District,98248,Ferndale,2488,100,1373,178,0.072833212,0.042554,104,522,534,500,62,103,51.95,50.875,48.775,49.9,52,47.325,288,376,15,76.6,4,19.4,45050,162.2,2,18521,19,96.5,63.1,35.1,75.3,10.6,26.3,23.7,19,5.7,25.7,13.4,50.8,0,0,0,4859.661157,5550.522261,21.51763617,0.939665213,0.576832669,0.045563883,98259.30734,258.05,98.44861941,0.013340823,48.852655,-122.618071,98248,69,1854,1664,1247,5210,0.013243762,0.355854127,0.239347409,0.319385797,303250,1040,15.93333333,44.05,,,,0.63,0.72,0.545,9.5,177.5,12,0,4,6
Friday Harbor High School,San Juan Island School District,98250,FRIDAY HARBOR,2879,98,273,156,0.358974359,0.22781,99,528,534,514,60,52,47.775,45.45,43.1,49.525,50.75,47.325,73,79,1,92.4,1.3,6.299995,45000,314.2,5,6894,36.2,90.3,59.8,46.5,73.6,15.5,24.7,28.9,36.2,13.6,29.1,7,50.1,0,0,0,4830.361277,5463.704063,22.42816464,0.929141813,0.521187917,0.047177978,100659.6356,112.46,66.86786297,0.00937298,48.55113,-123.075633,98250,11,312,291,190,866,0.012702079,0.360277136,0.219399538,0.336027714,361700,785,14.3,33.8,2159878,6185867,737142,0.74,0.83,0.65,3,20,,,,
Granite Falls High School,Granite Falls School District,98252,Granite Falls,2580,52,678,59,0.076696165,0.037698,29,535,514,499,10,35,54.375,53.8,50.725,50.275,50.625,47.675,132,148,3,89.2,2,8.800003,50870,172.2,5,6587,13.8,102.6,61.4,33.1,76.9,13,25.6,27.1,13.8,4,26.5,15.7,48.6,0,0,0,4591.48188,4853.786281,24.6957068,0.937645289,0.523996823,0.011583538,106319.4965,27.22,10.44280136,0.005247717,48.070852,-121.822429,98252,39,707,824,525,2223,0.01754386,0.318038686,0.236167341,0.370670265,314702,960,6.4,28.43333333,,,,61.66666667,70.33333333,53.33333333,5,88,,,,
La Conner High School,La Conner School District,98257,LA CONNER,2276,2,194,2,0.010309278,0,0,496,509,484,15,21,50.525,47,44,49.45,51.225,45.95,46,55,2,83.6,3.6,12.8,45870,202.7,6,3708,30.6,93,64.3,48.6,73.6,9.6,26.1,24.5,30.6,11.1,32,10.6,60.3,0.0217391,0,0,6901.860523,8719.566249,18.36311859,0.937428494,0.57999665,0.016417958,118809.3904,219.39,110.6447689,0.002427184,48.393063,-122.504762,98257,6,213,194,154,603,0.009950249,0.353233831,0.255389718,0.32172471,334600,1060,5.5,53.2,,,,0.51,0.6,0.42,0,6,,,,
Lake Stevens Sr High School,Lake Stevens School District,98258,Lake Stevens,2426,253,1758,363,0.143913538,0.089599,226,524,529,513,27,161,54.525,51.925,49.1,50.425,51.825,48.05,461,518,3,89,0.6,10.4,61066,210.2,17,16637,18.6,99.7,63.1,34.3,79.1,10.7,26.2,25,18.7,4.7,31.1,10.5,51.8,0,0,0,4524.445538,4904.904591,24.88993371,0.933415996,0.547221364,0.032600651,105114.9151,693.55,250.2102607,0.070730754,48.028355,-122.063278,98258,67,3145,2439,1938,8139,0.00823197,0.386411107,0.23811279,0.299668264,330400,1015,6.3,30.5,1080013,3093135.5,368613.5,0.64,0.72,0.57,38,463,36,0,3,8
Bayview Alternative School,South Whidbey School District,98260,Langley,1682,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,30,0,50,0,50,45469,220.6,2,4895,34.2,89.3,60.6,45,77.6,14.9,24.5,26.4,34.3,12.3,31.6,7,58.7,0.0169491,0,0,5260.645983,5696.676927,23.65692514,0.886973471,0.57874361,0.007766176,110384.4766,187.81,97.22757027,0.008778626,48.030555,-122.448566,98260,21,489,582,399,1583,0.013265951,0.308907138,0.252053064,0.367656349,358893,955,7.3,26,23,24,2,62,75,49,1,17,1,0,1,1
South Whidbey High School,South Whidbey School District,98260,Langley,4149,74,527,83,0.140417457,0.087972,52,537,529,510,17,51,50.1,51.175,46.8,51.025,50.05,48.175,127,135,0,94.1,0,5.900002,45469,220.6,2,4895,34.2,89.3,60.6,45,77.6,14.9,24.5,26.4,34.3,12.3,31.6,7,58.7,0.0169491,0,0,5260.645983,5696.676927,23.65692514,0.886973471,0.57874361,0.007766176,110384.4766,187.81,97.22757027,0.008778626,48.030555,-122.448566,98260,21,489,582,399,1583,0.013265951,0.308907138,0.252053064,0.367656349,358900,955,,7.6,,,,,,,,,,,,
Whidbey Island Academy Shared Sch,South Whidbey School District,98260,Langley,1770,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,100,0,0,45469,220.6,2,4895,34.2,89.3,60.6,45,77.6,14.9,24.5,26.4,34.3,12.3,31.6,7,58.7,0.0169491,0,0,5260.645983,5696.676927,23.65692514,0.886973471,0.57874361,0.007766176,110384.4766,187.81,97.22757027,0.008778626,48.030555,-122.448566,98260,21,489,582,399,1583,0.013265951,0.308907138,0.252053064,0.367656349,394334,955,,26,,,,,,,,,,,,
Lopez Middle High School,Lopez School District,98261,Lopez Island,2632,6,126,7,0.047619048,0.040816,6,550,534,515,15,13,48.125,48.275,45.225,51.275,50.7,49.5,17,22,1,77.3,4.5,18.2,38594,300.7,2,2304,47.3,96,66.5,48.9,79,9.6,23.9,27.6,47.4,18.3,25.6,4.5,48.3,0,0,0,7775.935152,8445.967088,13.40311526,0.96978852,0.51309092,0.015688918,101073.0616,72.09,58.71650678,0.002310231,48.481655,-122.882712,98261,0,72,83,43,206,0,0.349514563,0.208737864,0.402912621,524600,790,21.9,47.3,2159878,6185867,737142,0.56,0.65,0.47,1,30,,,,
Lynden High School,Lynden School District,98264,LYNDEN,4201,29,880,42,0.032954545,0.022754,29,528,539,503,18,49,53.575,49.225,46.825,49.275,52.75,47.6,192,216,8,88.9,3.7,7.400002,44531,175.1,3,16789,21.3,89.8,66.2,34.9,70.2,5.2,28.6,25.1,21.3,7.1,23.6,17.1,53.4,0,0,0,4376.989784,4930.244051,24.42172462,0.946947149,0.53922605,0.085618617,101222.6268,268.39,98.48194311,0.005403687,48.943476,-122.457236,98264,40,1035,923,604,2855,0.014010508,0.362521891,0.211558669,0.323292469,332140,,8.8,47.1,,,,63,71,54.5,16,249,12,0,3,1
Marysville Mountain View High School,Marysville School District,98270,Marysville,4233,0,228,0,0,0,0,0,0,0,18,6,22.73333333,22.76666667,21.5,41.93333333,40.76666667,39.03333333,48,103,3,46.6,2.9,50.5,51126,184.6,46,34908,18.6,90.8,62.3,33.2,68,10.4,27.3,24.9,18.6,5.1,32,11.5,42.1,0.1024793,0.1111111,0.0454545,4962.814715,5295.452947,24.39835934,0.917621447,0.539354119,0.066013554,111109.7678,2398.48,892.1961326,0.006858711,48.061269,-122.158802,98270,225,4311,3682,2591,11661,0.019295086,0.369693851,0.222193637,0.315753366,321150,1207.5,4.533333333,40.1,1080080.5,3093566,368696,0.573333333,0.666666667,0.483333333,13,230,62,0,27,41
Marysville Arts and Technology High School,Marysville School District,98271,Marysville,1927,112,357,156,0.31372549,0.144796,72,511,509,492,200,190,47.23333333,45.16666667,42.33333333,47.4,46.63333333,44.6,66,77,2,85.7,2.6,11.7,54160,173.1,46,23421,13.9,100.6,63.6,35.4,84.3,10.9,25.5,24.7,13.9,4.4,34.6,12.6,53.3,0.1024793,0.1111111,0.0454545,4962.814715,5295.452947,24.39835934,0.917621447,0.539354119,0.066013554,111109.7678,509.28,184.6540057,0.005211726,48.093129,-122.216143,98271,225,4311,3682,2591,11661,0.019295086,0.369693851,0.222193637,0.315753366,258901,845,13.8,44.9,1080080.5,3093566,368696,0.54,0.64,0.44,25,288,62,0,27,41
MP Pathways of Choice,Marysville School District,98271,Marysville,5213,54,1232,81,0.043831169,0.022727,42,510,503,491,269,129,41.2,40.6,36.6,49.5,49.5,45.1,8,14,3,57.1,21.4,21.5,54160,173.1,46,23421,13.9,100.6,63.6,35.4,84.3,10.9,25.5,24.7,13.9,4.4,34.6,12.6,53.3,0.1024793,0.1111111,0.0454545,4962.814715,5295.452947,24.39835934,0.917621447,0.539354119,0.066013554,111109.7678,509.28,184.6540057,0.005211726,48.093129,-122.216143,98271,225,4311,3682,2591,11661,0.019295086,0.369693851,0.222193637,0.315753366,258900,845,13.8,44.9,1080080.5,3093566,368696,0.54,0.64,0.44,25,288,62,0,27,41
Monroe High School,Monroe School District,98272,Monroe,4528,68,1685,110,0.040356083,0.023846,65,523,529,508,10,77,54.625,53.5,49.65,51.2,53.5,48.675,325,358,10,90.8,2.8,6.399994,55987,211.3,9,23059,19.9,122.3,65.7,32.8,72.5,9.2,25.1,24.8,19.9,5.2,30.3,12.5,44,0,0,0,4301.376603,5201.819661,28.20339329,0.91168688,0.617613728,0.054392176,110599.8498,224.38,75.18500721,0.006018342,47.860245,-121.937343,98272,68,2397,2960,1503,7300,0.009315068,0.328356164,0.205890411,0.405479452,344860,920,8.6,18.5,,,,60.5,71,50,26,282,35,1,9,5
Sky Valley Education Center,Monroe School District,98272,Monroe,1777,0,845,0,0,0,0,619,555,566,5,14,23.625,26.875,25.35,54.825,48.175,51.65,35,44,1,79.5,2.3,18.2,55987,211.3,9,23059,19.9,122.3,65.7,32.8,72.5,9.2,25.1,24.8,19.9,5.2,30.3,12.5,44,0,0,0,4301.376603,5201.819661,28.20339329,0.91168688,0.617613728,0.054392176,110599.8498,224.38,75.18500721,0.006018342,47.860245,-121.937343,98272,68,2397,2960,1503,7300,0.009315068,0.328356164,0.205890411,0.405479452,344860,920,8.6,9.3,,,,,,,,,,,,
Mount Vernon High School,Mount Vernon School District,98273,Mount Vernon,2295,124,1884,207,0.06581741,0.036883,116,506,509,489,35,123,50,47.125,44.95,47.125,48.05,44.525,287,429,17,66.9,4,29.1,40304,159.7,2,25426,20.5,96.7,58.8,32,59.7,10.1,31.1,24.5,20.5,6.7,26.7,21.2,44.4,0.0042553,0,0.076923,4620.093547,5211.230557,25.65383533,0.915672155,0.486330892,0.241469197,108528.3198,293.26,110.3732992,0.005895954,48.414576,-122.351966,98273,93,2469,1958,1347,6388,0.014558547,0.386505949,0.21086412,0.30651221,288400,927.5,18.76666667,57.03333333,1296047.2,3712235.8,442310.8,0.526666667,0.616666667,0.44,16.5,274,52,0,15,24
Kamiak High School,Mukilteo School District,98275,Mukilteo,4433,436,2124,806,0.20527307,0.158921,624,553,584,545,78,245,57.175,52.8,51.125,53.175,56.825,51.875,499,523,8,95.4,1.5,3.099998,67372,289.1,29,19264,42.3,97.6,64.6,36.4,69.1,9.9,25.5,24.2,42.4,13,28.2,3.7,44.4,0.0049504,0,0,5024.552415,5299.64664,23.59751155,0.910535971,0.557237113,0.152995205,107959.4581,1772.79,696.007428,0,47.916148,-122.302939,98275,221,5857,4398,3349,14890,0.014842176,0.393351242,0.224916051,0.295366017,505279,1285,5.9,44.6,,,,0.665,0.74,0.585,10,257,273,5,76,181
Oak Harbor High School,Oak Harbor School District,98277,Oak Harbor,2974,152,1674,264,0.090800478,0.039209,114,509,513,489,41,116,49.025,48.85,45.575,48.625,50.025,46.15,329,393,11,83.7,2.8,13.5,41891,164.6,14,36691,22.8,98.3,65.5,30.4,56.2,8.3,26.2,25.4,22.8,6.1,32.6,8.3,38.6,0,0,0,4632.294708,5199.859518,23.85338583,0.898689041,0.59437772,0.016711291,99301.46606,594.85,229.6302303,0.009000321,48.303774,-122.650931,98277,118,2211,1742,1247,5768,0.020457698,0.383321775,0.216192788,0.302011096,277800,935,,10.3,,,,,,,,,,,,
Sedro Woolley Senior High School,Sedro-Woolley School District,98284,Sedro-Woolley,2150,80,1210,127,0.066115702,0.032797,63,502,522,475,60,53,49.025,46.725,44.125,49.325,51.65,47.175,232,250,1,92.8,0.4,6.799995,40851,143.9,2,22575,13,96,58,35.8,74.1,12.9,29.1,24.2,13,3.5,26.8,17.8,48.6,0,0,0,4457.069618,4930.235378,25.01035974,0.925666089,0.512024321,0.050444982,103186.6968,97.98,38.43591167,0.004125904,48.518653,-122.165459,98284,65,1485,1487,933,4280,0.015186916,0.346962617,0.217990654,0.347429907,208840,922.5,14.1,49.1,156,410,17,62,71,52,4,154,4,0,3,8
Snohomish High School,Snohomish School District,98290,Snohomish,2428,102,1738,163,0.058688147,0.041405,115,538,538,518,35,155,51.775,52.175,48.475,50.7,50.7,47.25,371,402,6,92.3,1.5,6.199997,61110,235.6,3,29742,22.1,95.2,61.3,36.7,78.2,11.8,26.9,24.6,22.1,6.8,28.2,11,54.3,0.0050761,0,0,4885.435958,5183.390517,25.02718034,0.912956157,0.572811762,0.025425514,111625.9503,294.39,109.8748122,0.013047346,47.930902,-122.039763,98290,104,3451,3554,2340,10032,0.010366826,0.343999203,0.233253589,0.354266348,318366,1142.5,6.2,18.5,50,306,40,66,75,56,6,129,5,0,4,10
Stanwood High School,Stanwood-Camano School District,98292,STANWOOD,2581,150,1518,251,0.098814229,0.057871,147,530,527,499,24,76,53.775,52.575,49.9,50.95,52.425,47.825,338,369,7,91.6,1.9,6.5,54889,203.2,9,31514,21.7,95.5,66.8,39.4,82.9,9.8,23.4,24.3,21.7,6.1,32.5,9.1,51,0.004878,0,0,4934.180445,5297.686004,22.98760627,0.927079142,0.574776103,0.016395039,105153.9492,269.79,117.9329227,0.115014765,48.222046,-122.389617,98292,65,1687,1692,1142,4862,0.013368984,0.346976553,0.234882764,0.348004936,326715,990,7.8,22.8,,,,66,74,58,5,173,5,0,2,1
Sultan Senior High School,Sultan School District,98294,Sultan,4274,7,584,9,0.011986301,0.003995,3,501,522,474,12,44,49.575,48.425,46.125,48.575,49.4,45.1,115,132,1,87.1,0.8,12.1,47331,178.9,9,5647,11.9,96.7,59.3,34.3,78.9,14.3,26.4,26.7,11.9,1.9,28.4,14.6,48.3,0,0,0,4366.447193,5092.749678,27.09862649,0.917834589,0.550461333,0.049198896,108602.5222,125.08,48.90965732,0.00155521,47.86527,-121.78899,98294,28,818,670,494,2161,0.012956964,0.378528459,0.228597871,0.310041647,282755,920,9.7,41.6,,,,58,69,47.5,24,262,,,,
Glacier Peak High School,Snohomish School District,98296,Snohomish ,5128,70,1622,96,0.043156597,0.031018,69,259,272,252,40,110,40.075,38.4,36.8,37.925,40.275,35.95,281,297,0,94.6,0,5.400002,77181,282.7,9,19202,32.9,99.1,68.8,35.7,92.1,8.1,23.1,24.3,32.9,8.4,28.5,6.2,56.3,0.0050761,0,0,4885.435958,5183.390517,25.02718034,0.912956157,0.572811762,0.025425514,111625.9503,551.48,186.6893231,0.004230118,47.846083,-122.110687,98296,104,3451,3554,2340,10032,0.010366826,0.343999203,0.233253589,0.354266348,510000,,4.9,18.1,,,,0.665,0.745,0.585,10,109,,,,
Olympic High School,Central Kitsap School District,98311,BREMERTON,4100,156,890,247,0.175280899,0.09722,137,512,524,478,55,95,49.35,46.95,43.875,49.45,51.825,46.35,300,325,5,92.3,1.5,6.199997,52477,145.3,35,23604,22.8,93.5,63.5,35.4,74,8.8,27.7,22.7,22.8,5.9,32.5,8.3,50.9,0,0,0,5123.086505,5561.632227,22.43020231,0.952773315,0.561820969,0.018555539,109484.9602,2431.91,900,0.003083248,47.629717,-122.634935,98311,120,4151,3951,2599,11583,0.01036001,0.358370025,0.224380558,0.341103341,257100,1100,2.2,31.4,1080150,3093572,368627,0.66,0.73,0.59,7,104,164,0,52,50
Renaissance Alternative High School,Bremerton School District,98312,Bremerton,1737,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,71,10,46.5,14.1,39.4,40133,133.8,35,31833,17.5,98.3,57.5,33.5,58.3,12.6,29.9,23.5,17.5,5.6,32.6,11.7,43.6,0,0,0,4429.849846,4768.157834,22.88822425,0.94062903,0.466972025,0.023821606,95371.6911,499.58,213.1895609,0.019310345,47.564437,-122.712935,98312,121,1963,1399,975,4924,0.024573517,0.398659626,0.198009748,0.284118603,179343,920,16.3,58.6,422,1277,112,56,65,48,20,125,164,0,52,50
Collins Alternative Programs,White River School District,98321,Buckley,1544,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,177,13,37.9,7.3,54.8,54602,171,6,14662,12.9,103.9,61,34.1,82.9,11.8,27.2,25.8,13,3.1,30.2,14.4,51,0.0107526,0,0,4576.615991,5170.070902,24.83558417,0.930881711,0.546591982,0.008239988,105806.7444,401.88,143.7465716,0.002189381,47.155649,-122.052559,98321,38,1292,1465,861,3945,0.009632446,0.327503169,0.218250951,0.371356147,277643,,6.8,27.2,,,,62.33333333,73.33333333,51.66666667,15,149,,,,
White River High School,White River School District,98321,Buckley,4569,162,1217,219,0.133114215,0.055312,91,506,506,477,21,166,34.7,35.525,32.85,45.775,47.3,42.7,288,312,2,92.3,0.6,7.099998,54602,171,6,14662,12.9,103.9,61,34.1,82.9,11.8,27.2,25.8,13,3.1,30.2,14.4,51,0.0107526,0,0,4576.615991,5170.070902,24.83558417,0.930881711,0.546591982,0.008239988,105806.7444,401.88,143.7465716,0.002189381,47.155649,-122.052559,98321,38,1292,1465,861,3945,0.009632446,0.327503169,0.218250951,0.371356147,277600,,7,27.2,,,,0.623333333,0.733333333,0.516666667,9.5,83,,,,
Chimacum High School,Chimacum School District,98325,Chimacum,3275,22,338,30,0.065088757,0.045562,21,525,510,501,8,23,50.425,53.625,50.775,51.375,51.625,48.775,87,94,0,92.6,0,7.400002,43140,142.6,3,1383,19.3,102.3,63.3,39.3,80,12.5,24.2,18.1,19.4,1.2,32,6.1,62,0,0,0,4818.460717,5286.046083,23.88379927,0.924616636,0.527696575,0.009319978,106407.7937,53.52,21.71496626,0.00748621,47.974586,-122.783823,98325,20,382,361,287,1133,0.017652251,0.337157988,0.253309797,0.318623124,386506,,11.3,45.7,2159878,6185867,737142,58,71,45,,,,,,
Eatonville High School,Eatonville School District,98328,Eatonville,2206,28,656,35,0.042682927,0.012195,10,503,492,482,16,44,48.875,48.85,46,49.675,49.425,46.55,143,170,4,84.1,2.4,13.5,47728,166.2,6,8712,14.5,99.8,63.9,37.2,81.4,10.8,25.3,25.9,14.6,4.5,25,16.9,54.3,0.0217391,0,0.1666666,4476.376108,4924.911172,23.58060617,0.948788172,0.523532304,0.006468917,100149.9637,65.69,26.40394825,0.02649778,46.884733,-122.292373,98328,15,666,656,498,1955,0.007672634,0.340664962,0.254731458,0.335549872,262600,,8.7,34.6,1079945,3092947.5,368571.5,0.58,0.68,0.49,1,41,389450.5,7374,42383.5,183916.5
Forks High School,Quillayute Valley School District,98331,Forks,2349,17,309,18,0.055016181,0.012225,4,505,510,487,12,11,45.825,46.325,43.925,22.35,21.625,20.125,56,62,1,90.3,1.6,8.099998,35802,92.6,11,6268,11.2,112.4,58.9,33.3,67.7,10.1,31,21.4,11.2,4.5,23.6,22.4,55.4,0,0,0,1191.258216,4234.978373,27.21736754,0.927800527,0.595030925,0.031714737,30081.99548,15.61,6.522284682,0.005391374,47.838423,-124.358886,98331,28,437,2384,257,3190,0.008777429,0.136990596,0.080564263,0.747335423,148200,580,21.7,19.8,1079946.5,3092971,368572,0.48,0.57,0.38,11,61,12,1,3,0
Insight School of Washington,Quillayute Valley School District,98331,Forks,5071,0,2018,0,0,0,0,546,493,508,2,10,0,0,0,57.16666667,50.63333333,52.9,247,1051,101,23.5,9.6,66.9,35802,92.6,11,6268,11.2,112.4,58.9,33.3,67.7,10.1,31,21.4,11.2,4.5,23.6,22.4,55.4,0,0,0,1191.258216,4234.978373,27.21736754,0.927800527,0.595030925,0.031714737,30081.99548,15.61,6.522284682,0.005391374,47.838423,-124.358886,98331,28,437,2384,257,3190,0.008777429,0.136990596,0.080564263,0.747335423,148200,580,21.7,19.8,1079946.5,3092971,368572,0.48,0.57,0.38,11,61,12,1,3,0
Henderson Bay Alt High School,Peninsula School District,98332,Gig Harbor,1516,0,141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,46,12,30.4,26.1,43.5,61226,208.6,37,12975,31.8,81.9,66.3,40.6,85.5,8.9,24.8,23.4,31.9,11.9,29.1,8.1,55.9,0.0285714,0,0,4950.673921,5408.550688,23.25553783,0.932428725,0.586246732,0.005521765,107351.0642,626.59,240.1909308,0.002855783,47.364321,-122.600116,98332,105,3062,3190,2296,9198,0.011415525,0.332898456,0.249619482,0.346814525,340342,1080,3,22,76,340,27,73,80,66,7,100,14,0,2,10
