Model,Year, Mileage , Price , CompPrice ,Location, AgeScore , MileageScore , AgeScoreNorm , MileageScoreNorm , CombinedScore ,PriceToScore,VIN,ID,Notes,URL,Ignore?
Sonata,2006,151559,5000,2081.609384,Shoreline, 12.29 , 194.50 , 0.12 , 0.57 , 0.48 , 2.40 ,KMHDN46DX6U374018,UU,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=334307022&listingIndex=3&Log=0,
Camry,1998,140000,4300,2077.16075,Tacoma, 40.23 , 171.32 , 0.40 , 0.50 , 0.48 , 2.07 ,,,,http://seattle.craigslist.org/tac/cto/3505209075.html,Y
Corolla,1998,140164,3500,2073.916367,Shoreline, 40.23 , 171.64 , 0.40 , 0.50 , 0.48 , 1.69 ,1NXBR12E0WZ030576,X,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BTOYOTA%5BCOROL%5B%5D%5D%5B%5D%5D&modelCode1=COROL&sortBy=mileageASC&makeCode1=TOYOTA&startYear=1981&showcaseOwnerId=599690&searchRadius=75&listingId=335279934&listingIndex=2&Log=0,
Camry,1996,138000,3500,2046.342549,Kirkland, 48.50 , 167.42 , 0.48 , 0.49 , 0.49 , 1.71 ,,,,http://seattle.craigslist.org/est/cto/3504671036.html,Y
Civic,2000,145000,3550,2044.383344,, 32.42 , 181.21 , 0.32 , 0.53 , 0.49 , 1.74 ,,,manual,http://seattle.craigslist.org/kit/cto/3506961272.html,Y
Camry,1997,140081,4995,2041.295112,Seattle, 44.31 , 171.48 , 0.44 , 0.50 , 0.49 , 2.45 ,4T1BG22K1VU106077,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=337103049&listingIndex=2&Log=0,Y
Elantra,2003,149821,3990,2038.043891,Olympia, 21.67 , 190.95 , 0.21 , 0.56 , 0.49 , 1.96 ,KMHDN45D73U697701,II,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=333660346&listingIndex=3&Log=0,
Accord,1997,140685,2488,2029.787651,Marysville, 44.31 , 172.66 , 0.44 , 0.51 , 0.49 , 1.23 ,1HGCE6675VA016493,,"Needs work (""mechanic's special"")",http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=327216969&listingIndex=15&Log=0,Y
Camry,1998,142748,4990,2023.817939,Edmonds, 40.23 , 176.73 , 0.40 , 0.52 , 0.49 , 2.47 ,,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=330353810&listingIndex=3&Log=0,Y
Elantra,2005,153361,4995,2020.325922,Edmonds, 15.25 , 198.22 , 0.15 , 0.58 , 0.49 , 2.47 ,KMHDN46D65U037327,WW,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=334858200&listingIndex=4&Log=0,
Corolla,1998,143000,2600,2019.032908,Bellevue, 40.23 , 177.23 , 0.40 , 0.52 , 0.50 , 1.29 ,,,manual,http://seattle.craigslist.org/est/cto/3497697135.html,Y
Sonata,2002,149365,2250,2018.912135,Stanwood, 25.12 , 190.02 , 0.25 , 0.56 , 0.50 , 1.11 ,KMHWF25S42A607638,,Some damage to side door,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=322951856&listingIndex=14&Log=0,Y
Elantra,2001,148265,3991,2011.323409,Shoreline, 28.70 , 187.79 , 0.28 , 0.55 , 0.50 , 1.98 ,KMHDN45D11U147648,JJ,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=332706346&listingIndex=13&Log=0,
Civic,1993,134533,4995,2003.340661,Lynnwood, 61.70 , 160.74 , 0.61 , 0.47 , 0.50 , 2.49 ,JHMEG8647PS058081,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=336120863&listingIndex=12&Log=0,Y
Civic,1996,143000,3000,1954.350839,Olympia, 48.50 , 177.23 , 0.48 , 0.52 , 0.51 , 1.54 ,,O,Check on manual?,http://seattle.craigslist.org/oly/cto/3504249066.html,
Camry,2000,150000,4500,1949.971112,Renton, 32.42 , 191.31 , 0.32 , 0.56 , 0.51 , 2.31 ,,,,http://seattle.craigslist.org/skc/cto/3491044172.html,Y
Camry,1991,136000,2500,1907.829239,Shoreline, 70.98 , 163.55 , 0.70 , 0.48 , 0.52 , 1.31 ,,,,http://seattle.craigslist.org/see/cto/3502002867.html,Y
Civic,1998,150000,3300,1892.837117,Seattle, 40.23 , 191.31 , 0.40 , 0.56 , 0.53 , 1.74 ,,,2-door coupe,http://seattle.craigslist.org/see/cto/3490397222.html,Y
Camry,1994,144000,2100,1874.159544,Kent, 57.20 , 179.22 , 0.57 , 0.53 , 0.53 , 1.12 ,,,,http://seattle.craigslist.org/see/cto/3506636661.html,Y
Civic,2001,156000,4200,1870.878106,Monroe, 28.70 , 203.70 , 0.28 , 0.60 , 0.53 , 2.24 ,,PP,,http://seattle.craigslist.org/see/cto/3488330208.html,
Camry,1997,150000,3000,1864.300373,Seattle, 44.31 , 191.31 , 0.44 , 0.56 , 0.54 , 1.61 ,,,,http://seattle.craigslist.org/see/cto/3480639662.html,Y
Camry,1999,153408,3950,1862.663539,Tacoma, 36.27 , 198.32 , 0.36 , 0.58 , 0.54 , 2.12 ,JT2BF28K1X0204172,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=335111436&listingIndex=44&Log=0,Y
Camry,1995,146725,3999,1859.950713,Mt. Vernon, 52.80 , 184.67 , 0.52 , 0.54 , 0.54 , 2.15 ,4T1GK12C3SU089009,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=320943938&listingIndex=14&Log=0,Y
Camry,1994,145029,3981,1857.399643,Tacoma, 57.20 , 181.27 , 0.57 , 0.53 , 0.54 , 2.14 ,4T1SK12E1RU371607,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=337055343&listingIndex=4&Log=0,Y
Accord,1996,149187,4250,1849.057399,Shoreline, 48.50 , 189.66 , 0.48 , 0.56 , 0.54 , 2.30 ,1HGCD5534TA287263,SS,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=333124319&listingIndex=3&Log=0,
Elantra,2001,159958,3590,1804.910405,Burien, 28.70 , 212.04 , 0.28 , 0.62 , 0.55 , 1.99 ,KMHDN45D81U176631,KK,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=324699700&listingIndex=15&Log=0,
Sonata,1999,157909,3000,1789.276643,Shoreline, 36.27 , 207.71 , 0.36 , 0.61 , 0.56 , 1.68 ,KMHWF25V1XA102402,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=330504313&listingIndex=4&Log=0,Y
Corolla,1996,153156,3999,1786.048593,Tacoma, 48.50 , 197.79 , 0.48 , 0.58 , 0.56 , 2.24 ,,,,http://seattle.craigslist.org/sno/ctd/3507947961.html,Y
Accord,1997,155091,2988,1782.531407,Marysville, 44.31 , 201.81 , 0.44 , 0.59 , 0.56 , 1.68 ,1HGCE1822VA010106,W,Wagon,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=335659685&listingIndex=19&Log=0,
Accord,1997,155703,4000,1773.078192,Shoreline, 44.31 , 203.08 , 0.44 , 0.60 , 0.56 , 2.26 ,1HGCD5534VA180233,QQ,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=335526555&listingIndex=3&Log=0,
Camry,1991,146213,2400,1750.517121,Bellevue, 70.98 , 183.64 , 0.70 , 0.54 , 0.57 , 1.37 ,,,,http://seattle.craigslist.org/est/cto/3504580333.html,Y
Civic,1996,157000,3500,1728.135157,Seattle, 48.50 , 205.80 , 0.48 , 0.60 , 0.58 , 2.03 ,,MM,,http://seattle.craigslist.org/see/cto/3465881419.html,
Camry,1999,163000,3700,1711.600562,Lynnwood, 36.27 , 218.52 , 0.36 , 0.64 , 0.58 , 2.16 ,,,2-door coupe,http://seattle.craigslist.org/sno/cto/3507633945.html,Y
Camry,1997,161000,4100,1694.419836,Auburn, 44.31 , 214.25 , 0.44 , 0.63 , 0.59 , 2.42 ,,,,http://seattle.craigslist.org/skc/cto/3480281307.html,Y
Corolla,1996,159947,3500,1685.682619,Shoreline, 48.50 , 212.01 , 0.48 , 0.62 , 0.59 , 2.08 ,1NXBA02E6TZ435676,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BTOYOTA%5BCOROL%5B%5D%5D%5B%5D%5D&modelCode1=COROL&sortBy=mileageASC&makeCode1=TOYOTA&startYear=1981&showcaseOwnerId=599690&searchRadius=75&listingId=335099222&listingIndex=3&Log=0,Y
Accord,1999,168000,3350,1640.351098,Burien, 36.27 , 229.35 , 0.36 , 0.67 , 0.61 , 2.04 ,,,,http://seattle.craigslist.org/tac/cto/3507011169.html,Y
Accord,1985,143970,1750,1612.743568,Shoreline, 100.90 , 179.16 , 1.00 , 0.53 , 0.62 , 1.09 ,JHMAD5436FC038011,,1985 model. Very old,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=335184721&listingIndex=2&Log=0,Y
Corolla,1998,169000,2500,1606.129251,Seattle, 40.23 , 231.54 , 0.40 , 0.68 , 0.62 , 1.56 ,,R,,http://seattle.craigslist.org/see/cto/3507077577.html,
Elantra,2004,178229,3577,1593.614254,Chehalis, 18.38 , 252.10 , 0.18 , 0.74 , 0.63 , 2.24 ,KMHDN46D94U776397,OO,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=336515994&listingIndex=5&Log=0,
Accord,1999,172000,4395,1586.654873,Bellevue, 36.27 , 238.15 , 0.36 , 0.70 , 0.63 , 2.77 ,,,,http://seattle.craigslist.org/est/cto/3505305043.html,Y
Accord,1994,164328,2987,1581.204494,Kirkland, 57.20 , 221.38 , 0.57 , 0.65 , 0.63 , 1.89 ,1HGCD5628RA186077,EE,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=337117946&listingIndex=22&Log=0,
Corolla,2000,174000,3600,1579.627246,Seattle, 32.42 , 242.59 , 0.32 , 0.71 , 0.63 , 2.28 ,,RR,,http://seattle.craigslist.org/see/cto/3490651811.html,
Corolla,1998,173000,1800,1554.439191,Everett, 40.23 , 240.37 , 0.40 , 0.70 , 0.64 , 1.16 ,,,Only In spanish,http://seattle.craigslist.org/sno/cto/3507939558.html,Y
Elantra,2002,179000,3000,1550.485158,, 25.12 , 253.84 , 0.25 , 0.74 , 0.64 , 1.93 ,,HH,,http://seattle.craigslist.org/skc/cto/3504218278.html,
Corolla,1997,173177,2500,1532.970076,Chehalis, 44.31 , 240.76 , 0.44 , 0.71 , 0.65 , 1.63 ,1NXBB02E2VZ540425,V,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BTOYOTA%5BCOROL%5B%5D%5D%5B%5D%5D&modelCode1=COROL&sortBy=mileageASC&makeCode1=TOYOTA&startYear=1981&showcaseOwnerId=599690&searchRadius=75&listingId=336987430&listingIndex=4&Log=0,
Civic,2001,180000,4300,1521.154831,Bellevue, 28.70 , 256.12 , 0.28 , 0.75 , 0.66 , 2.83 ,,ZZ,,http://seattle.craigslist.org/est/cto/3504592323.html,
Corolla,1998,176029,3650,1517.014529,Shoreline, 40.23 , 247.14 , 0.40 , 0.72 , 0.66 , 2.41 ,1NXBR18E0WZ093491,VV,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BTOYOTA%5BCOROL%5B%5D%5D%5B%5D%5D&modelCode1=COROL&sortBy=mileageASC&makeCode1=TOYOTA&startYear=1981&showcaseOwnerId=599690&searchRadius=75&listingId=333269109&listingIndex=5&Log=0,
Camry,1993,170000,3000,1491.85822,Tacoma, 61.70 , 233.73 , 0.61 , 0.69 , 0.67 , 2.01 ,,,,http://seattle.craigslist.org/tac/cto/3504876829.html,Y
Accord,1999,180000,4000,1487.240363,Kirkland, 36.27 , 256.12 , 0.36 , 0.75 , 0.67 , 2.69 ,,,,http://seattle.craigslist.org/est/cto/3489733316.html,Y
Accord,1990,165550,2000,1480.618655,Shoreline, 75.75 , 224.02 , 0.75 , 0.66 , 0.68 , 1.35 ,1HGCB7663LA010100,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=330036034&listingIndex=23&Log=0,Y
Camry,1992,170000,1850,1471.866637,Lynnwood, 66.29 , 233.73 , 0.66 , 0.69 , 0.68 , 1.26 ,,,,http://seattle.craigslist.org/sno/cto/3478406398.html,Y
Corolla,2003,187147,5000,1466.143356,Shoreline, 21.67 , 272.58 , 0.21 , 0.80 , 0.68 , 3.41 ,1NXBR32E33Z104340,BC,,http://seattle.craigslist.org/see/ctd/3501915983.html,
Civic,1997,179000,4500,1464.122408,Marysville, 44.31 , 253.84 , 0.44 , 0.74 , 0.68 , 3.07 ,,AB,,http://seattle.craigslist.org/sno/cto/3507956988.html,
Accord,1996,177744,2788,1460.620255,Bellingham, 48.50 , 251.00 , 0.48 , 0.74 , 0.68 , 1.91 ,1HGCE6678TA018767,GG,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=336664367&listingIndex=4&Log=0,
Corolla,2000,185000,2500,1445.763085,Tacoma, 32.42 , 267.59 , 0.32 , 0.78 , 0.69 , 1.73 ,,Z,Check on manual?,http://seattle.craigslist.org/tac/cto/3507388161.html,
Accord,1995,178428,3995,1435.16464,Woodinville, 52.80 , 252.55 , 0.52 , 0.74 , 0.70 , 2.78 ,JHMCD5634SC026620,YY,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=334826651&listingIndex=5&Log=0,
Corolla,1994,178000,2250,1422.006056,Snohomish, 57.20 , 251.58 , 0.57 , 0.74 , 0.70 , 1.58 ,,,manual,http://seattle.craigslist.org/sno/ctd/3459777065.html,Y
Camry,1995,185000,1600,1366.001404,Bremerton, 52.80 , 267.59 , 0.52 , 0.78 , 0.73 , 1.17 ,,,,http://seattle.craigslist.org/kit/cto/3508098709.html,Y
Civic,1997,189447,3500,1352.180138,Shoreline, 44.31 , 277.96 , 0.44 , 0.81 , 0.74 , 2.59 ,1HGEJ6122VL013619,,2-door coupe,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=336010124&listingIndex=6&Log=0,Y
Elantra,2001,215344,3211,1167.004771,Yelm (s of Fort Lewis), 28.70 , 341.20 , 0.28 , 1.00 , 0.86 , 2.75 ,KMHDN45D41U203615,XX,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=331836922&listingIndex=9&Log=0,
