Model,Year, Mileage , Price , CompPrice ,Location, AgeScore , MileageScore , AgeScoreNorm , MileageScoreNorm , CombinedScore ,PriceToScore,VIN,ID,Notes,URL,Ignore?
Civic,1995,91251,3995,3255.550978,Lynnwood, 52.80 , 86.37 , 0.52 , 0.25 , 0.31 , 1.23 ,2HGEJ1136SH520320,,2-door coupe,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=334845502&listingIndex=12&Log=0,Y
Civic,2003,108765,4991,3213.77566,Burien, 21.67 , 114.39 , 0.21 , 0.34 , 0.31 , 1.55 ,1HGEM21553L006056,,2-door coupe,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=337042555&listingIndex=10&Log=0,Y
Civic,1998,100420,4988,3166.694583,Seattle, 40.23 , 100.67 , 0.40 , 0.30 , 0.32 , 1.58 ,2HGEJ854XWH529426,S,Manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=333975624&listingIndex=37&Log=0,Y
Sonata,2003,111180,4990,3117.674344,Tacoma, 21.67 , 118.48 , 0.21 , 0.35 , 0.32 , 1.60 ,KMHWF25S23A897850,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=329474688&listingIndex=9&Log=0,Y
Accord,1993,92205,4999,3046.930317,Lynnwood, 61.70 , 87.82 , 0.61 , 0.26 , 0.33 , 1.64 ,1HGCB7555PA140488,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=330470621&listingIndex=7&Log=0,Y
Camry,1995,99153,4995,2976.653228,Woodinville, 52.80 , 98.65 , 0.52 , 0.29 , 0.34 , 1.68 ,4T1SK12E6SU648693,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=330836715&listingIndex=1&Log=0,Y
Sonata,2004,116599,4599,2974.422526,Auburn, 18.38 , 127.85 , 0.18 , 0.37 , 0.34 , 1.55 ,KMHWF25S24A057259,P,Manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=324203916&listingIndex=10&Log=0,Y
Civic,1998,106183,5000,2960.05987,Shoreline, 40.23 , 110.07 , 0.40 , 0.32 , 0.34 , 1.69 ,2HGEJ6676WH626975,Y,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=336494891&listingIndex=1&Log=0,
Elantra,2002,114332,3990,2938.69178,Burien, 25.12 , 123.90 , 0.25 , 0.36 , 0.34 , 1.36 ,KMHDN55D72U066757,F,manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=324702484&listingIndex=8&Log=0,Y
Civic,1998,108230,4595,2891.53081,Seattle, 40.23 , 113.49 , 0.40 , 0.33 , 0.35 , 1.59 ,1HGEJ8242WL133255,T,2-door coupe,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=334749322&listingIndex=9&Log=0,Y
